repository,T_total_hours,T_downtime_hours,availability,N_releases,N_bugs,N_total_builds,N_failed_builds,bug_error_rate,build_error_rate,N_failures,mtbf_hours
ColtanLabs/TapNote,3311.94,1.83,99.9449,2,1,0,0,0.5,0.0,1,3311.94
apotter96/PowerOfGod,30912.88,436.57,98.5877,22,1,0,0,0.045455,0.0,1,30912.88
afollestad/drag-select-recyclerview,29811.59,0.0,100.0,19,0,0,0,0.0,0.0,0,
Qualeams/Android-Face-Recognition-with-Deep-Learning-Test-Framework,7386.26,4.23,99.9427,6,4,0,0,0.666667,0.0,4,1846.56
abhijitvalluri/fitnotifications,33981.27,0.0,100.0,4,0,0,0,0.0,0.0,0,
patrickfav/Dali,33879.03,49.53,99.8538,12,9,0,0,0.75,0.0,9,3764.34
nick11roberts/Moka-Scanr,1504.32,15.1,98.9962,3,2,0,0,0.666667,0.0,2,752.16
hanneseilers/Mensa-SH,8682.1,70.16,99.192,7,2,0,0,0.285714,0.0,2,4341.05
dan-zx/twitt4droid,3978.64,3978.64,0.0,2,1,0,0,0.5,0.0,1,3978.64
jreyes/mirror,897.69,0.0,100.0,2,0,0,0,0.0,0.0,0,
ello/ello-android,1366.37,0.0,100.0,2,0,0,0,0.0,0.0,0,
jamesmorrisstudios/Randomly-RemindMe,1805.45,0.0,100.0,4,0,0,0,0.0,0.0,0,
JohnNPhillips/HistoryCleanerPro,15593.08,0.0,100.0,15,0,0,0,0.0,0.0,0,
hubbardgary/LondonTrails,23495.91,99.36,99.5771,6,1,0,0,0.166667,0.0,1,23495.91
bmarrdev/android-DecoView-charting,7888.7,0.0,100.0,10,0,0,0,0.0,0.0,0,
meefik/busybox,53974.61,0.0,100.0,12,3,0,0,0.25,0.0,3,17991.54
sytolk/TaxiAndroidOpen,0.36,0.36,0.0,2,2,0,0,1.0,0.0,2,0.18
Mnkai/PGPClipper,30772.95,20459.38,33.5151,13,5,0,0,0.384615,0.0,5,6154.59
brarcher/gift-card-guard,16295.58,0.0,100.0,6,0,0,0,0.0,0.0,0,
bluedaniel/Kakapo-native,460.29,0.0,100.0,3,0,0,0,0.0,0.0,0,
dhmncivichacks/isitrecyclingweek-android,8929.81,6978.24,21.8545,2,5,0,0,2.5,0.0,5,1785.96
hgzojer/picturetrainer,37215.57,0.0,100.0,6,0,0,0,0.0,0.0,0,
crysxd/mensa-furtwangen,8527.09,0.0,100.0,8,0,0,0,0.0,0.0,0,
AfzalivE/AwakeDebug,371.97,97.2,73.8682,2,1,2,0,0.5,0.0,1,371.97
tvbarthel/SimpleThermometerProject,6614.56,89.21,98.6513,5,2,0,0,0.4,0.0,2,3307.28
StephanBezoen/tumblrlikes,643.07,0.0,100.0,2,0,0,0,0.0,0.0,0,
areina/elfeed-cljsrn,3467.31,3467.31,0.0,5,3,0,0,0.6,0.0,3,1155.77
JakeLane/Toffeed,3114.44,465.71,85.0468,14,10,0,0,0.714286,0.0,10,311.44
trvlrch/trvlr-android,71.47,0.0,100.0,4,0,0,0,0.0,0.0,0,
PaitoAnderson/SkrumazAndroid,10229.95,0.0,100.0,6,0,0,0,0.0,0.0,0,
sukso96100/zionhs,9754.13,0.0,100.0,9,1,0,0,0.111111,0.0,1,9754.13
adamsp/DestinyRaidTimers,2016.83,0.06,99.997,3,2,0,0,0.666667,0.0,2,1008.42
garywzh/QuumiiBox,4387.0,0.0,100.0,4,0,0,0,0.0,0.0,0,
trikita/obsqr,4035.24,0.0,100.0,3,0,0,0,0.0,0.0,0,
edubarr/header-decor,11976.28,0.0,100.0,3,5,0,0,1.666667,0.0,5,2395.26
msal/muzei-nationalgeographic,69108.26,1574.94,97.7211,10,4,0,0,0.4,0.0,4,17277.07
Digitopia/PORTOphone-app,8351.97,8351.97,0.0,5,22,0,0,4.4,0.0,22,379.64
hpedrorodrigues/GZMD,1165.68,0.0,100.0,5,0,0,0,0.0,0.0,0,
bparmentier/WiFiKeyShare,24223.37,24223.37,0.0,4,13,0,0,3.25,0.0,13,1863.34
AyuntamientoDeXalapa/AppLimpiaXalapa,1697.7,0.0,100.0,3,0,0,0,0.0,0.0,0,
ratty3697/android-smart-animation-library,4834.19,0.0,100.0,5,0,0,0,0.0,0.0,0,
Lauszus/FaceRecognitionApp,15494.4,0.0,100.0,5,0,0,0,0.0,0.0,0,
championswimmer/Lifelog-Android-Library,2696.87,0.0,100.0,2,0,0,0,0.0,0.0,0,
SecUSo/privacy-friendly-dice-game,8332.14,228.91,97.2527,5,1,12,1,0.2,0.083333,2,4166.07
V2Ray-Android/Actinium,7977.96,1453.4,81.7823,18,4,0,0,0.222222,0.0,4,1994.49
DeveloperPaul123/FilePickerLibrary,3467.15,3467.15,0.0,6,11,0,0,1.833333,0.0,11,315.2
marcoscgdev/HeaderDialog,13419.97,0.0,100.0,6,0,0,0,0.0,0.0,0,
SpiritCroc/Modular-Remote,35520.37,0.0,100.0,6,0,0,0,0.0,0.0,0,
TASnomad/Fallon-react-native-app,986.56,0.0,100.0,6,0,0,0,0.0,0.0,0,
flavioarfaria/KenBurnsView,2106.8,2106.8,0.0,4,4,0,0,1.0,0.0,4,526.7
agwells/dotdash-keyboard-android,5063.36,0.0,100.0,3,0,0,0,0.0,0.0,0,
cgogolin/library,3362.65,0.0,100.0,5,0,0,0,0.0,0.0,0,
kaichunlin/android-transition,5783.49,4.93,99.9148,7,1,0,0,0.142857,0.0,1,5783.49
matt-allen/repay-android,2672.73,0.0,100.0,3,0,0,0,0.0,0.0,0,
jtmcn/archwiki-viewer,21913.61,1459.27,93.3408,6,2,0,0,0.333333,0.0,2,10956.8
Leakedbits/Codelabs,361.02,0.0,100.0,5,0,0,0,0.0,0.0,0,
IYCI/MyClass,1503.11,1503.11,0.0,2,9,0,0,4.5,0.0,9,167.01
APSL/react-native-meneame,1081.83,0.0,100.0,2,0,0,0,0.0,0.0,0,
Mygod/Harmonizer,9585.44,0.0,100.0,8,0,0,0,0.0,0.0,0,
StefanOltmann/Kaesekaestchen,3003.46,0.0,100.0,9,0,0,0,0.0,0.0,0,
kenumir/Pinger,27354.66,1.17,99.9957,27,1,0,0,0.037037,0.0,1,27354.66
jt19056/Notey,5406.16,5406.16,0.0,2,39,0,0,19.5,0.0,39,138.62
honza-kasik/OlomouckyBazen,30777.31,505.52,98.3575,10,6,0,0,0.6,0.0,6,5129.55
opticod/Opti-Movies,7997.48,0.0,100.0,3,0,0,0,0.0,0.0,0,
