repository,T_total_hours,T_downtime_hours,availability,N_releases,N_bugs,N_total_builds,N_failed_builds,bug_error_rate,build_error_rate,N_failures,mtbf_hours
poldz123/ShapeRipple,6724.77,0.0,100.0,5,0,0,0,0.0,0.0,0,
alescdb/LauncherTV,42337.42,0.0,100.0,6,0,0,0,0.0,0.0,0,
yolosec/upcKeygen,4485.71,0.0,100.0,5,0,0,0,0.0,0.0,0,
Aaron1011/QuotesDream,23391.42,0.0,100.0,3,0,0,0,0.0,0.0,0,
JamesFrost/SimpleDo,769.26,0.0,100.0,3,0,0,0,0.0,0.0,0,
MiguelCatalan/MaterialSearchView,638.9,497.8,22.0856,2,4,0,0,2.0,0.0,4,159.73
varunest/SparkButton,19364.51,0.0,100.0,7,0,0,0,0.0,0.0,0,
jewelzqiu/sjtubbs,70.83,0.0,100.0,2,0,0,0,0.0,0.0,0,
jadengore/PebbLIFX,642.0,0.0,100.0,2,0,0,0,0.0,0.0,0,
Microsoft/ProjectOxford-ClientSDK,5003.37,5003.37,0.0,8,6,0,0,0.75,0.0,6,833.9
oxoooo/materialize,462.97,0.12,99.9749,4,2,0,0,0.5,0.0,2,231.48
adrianchifor/Swiftnotes,18183.36,0.0,100.0,5,0,0,0,0.0,0.0,0,
kartikarora/Transfer.sh,342.8,342.8,0.0,2,3,0,0,1.5,0.0,3,114.27
tkowalczyk/DevTalkMobile,6550.81,5827.39,11.0431,3,8,0,0,2.666667,0.0,8,818.85
SandroMachado/openalpr-android,10845.19,516.43,95.2381,5,2,0,0,0.4,0.0,2,5422.6
Mariovc/ImagePicker,12556.62,7266.46,42.1305,9,9,0,0,1.0,0.0,9,1395.18
trrk/FlMML-for-Android,14726.26,0.0,100.0,3,0,0,0,0.0,0.0,0,
thht/ambilike,699.21,0.0,100.0,2,0,0,0,0.0,0.0,0,
jgilfelt/SystemBarTint,2183.59,0.0,100.0,3,0,0,0,0.0,0.0,0,
SecUSo/privacy-friendly-torchlight,10130.45,0.0,100.0,4,4,11,1,1.0,0.090909,5,2026.09
schlan/Clippy,674.2,0.0,100.0,2,0,0,0,0.0,0.0,0,
WhitgiftCyberSoc/balances-android,521.66,0.0,100.0,2,0,0,0,0.0,0.0,0,
macleod2486/UTNow,1074.2,0.0,100.0,2,0,0,0,0.0,0.0,0,
kyze8439690/v2ex-daily-android,445.15,0.0,100.0,5,0,0,0,0.0,0.0,0,
k0shk0sh/KAM,217.92,0.0,100.0,2,0,0,0,0.0,0.0,0,
cmurtheepic/Mizer,291.04,291.04,0.0,3,11,0,0,3.666667,0.0,11,26.46
tho068/Fokuskino,215.58,0.0,100.0,4,0,0,0,0.0,0.0,0,
chetstone/react-native-palette,0.56,0.56,0.0,2,1,0,0,0.5,0.0,1,0.56
ennerperez/teaching-skills,17004.96,0.0,100.0,3,0,0,0,0.0,0.0,0,
thiagokimo/KonamiCode,10889.56,40.0,99.6327,7,1,0,0,0.142857,0.0,1,10889.56
TobiasBielefeld/Simple-Search,2207.34,0.0,100.0,3,0,0,0,0.0,0.0,0,
Waboodoo/Status-Bar-Tachometer,65200.81,72.37,99.889,12,1,0,0,0.083333,0.0,1,65200.81
boombuler/piraten_map_app,30409.62,0.0,100.0,4,0,0,0,0.0,0.0,0,
adamkdot/my_ip_address_info,3716.64,0.0,100.0,7,0,0,0,0.0,0.0,0,
seeing-eye/UnforgetIt,18.23,4.73,74.062,2,3,0,0,1.5,0.0,3,6.08
beenotung/music-player,4.11,4.11,0.0,2,4,0,0,2.0,0.0,4,1.03
chteuchteu/Les-Joies-de-l-Etudiant-Info,1032.94,0.0,100.0,3,0,0,0,0.0,0.0,0,
Trellmor/BerryMotesApp,4000.75,0.0,100.0,2,0,0,0,0.0,0.0,0,
no-go/TextThing,2581.45,0.0,100.0,4,0,1,0,0.0,0.0,0,
sunner/SMS2Calendar,282.63,0.0,100.0,4,0,0,0,0.0,0.0,0,
plusCubed/recycler-fast-scroll,6007.35,2846.39,52.6182,6,3,0,0,0.5,0.0,3,2002.45
johnkil/Print,6576.19,2222.57,66.2027,8,4,0,0,0.5,0.0,4,1644.05
jannispinter/jaws,2205.2,0.0,100.0,6,0,0,0,0.0,0.0,0,
erdemorman/mdx,7.93,0.0,100.0,2,0,0,0,0.0,0.0,0,
andrkhar/TheFreeBird,4698.79,0.0,100.0,2,0,0,0,0.0,0.0,0,
MaelstromJS/SYLAB,568.06,0.0,100.0,5,0,0,0,0.0,0.0,0,
domjos1994/NotPunktList,3027.72,0.0,100.0,7,0,0,0,0.0,0.0,0,
andrewcmyers/multilist,21.12,0.0,100.0,2,0,0,0,0.0,0.0,0,
axxapy/apkExtractor,6274.04,0.0,100.0,4,0,0,0,0.0,0.0,0,
ETCLabs/LuminosusEosEdition,3217.4,0.0,100.0,2,0,0,0,0.0,0.0,0,
Rachel030219/HashChecker,34324.01,0.0,100.0,10,0,0,0,0.0,0.0,0,
nick11roberts/Llama,5002.06,0.0,100.0,4,0,0,0,0.0,0.0,0,
JordanRobinson/track-to-speech,1659.65,0.0,100.0,3,0,0,0,0.0,0.0,0,
civyshk/rpncalc104k,21671.11,0.0,100.0,3,0,0,0,0.0,0.0,0,
vmihalachi/turbo-editor,9584.89,0.0,100.0,9,0,0,0,0.0,0.0,0,
movim/movim_android,10437.11,18.12,99.8264,3,1,0,0,0.333333,0.0,1,10437.11
house4hack/openSHAC,9.78,0.0,100.0,2,0,0,0,0.0,0.0,0,
QTechOsijek/Low-cost_Smart-house,335.63,0.0,100.0,2,0,0,0,0.0,0.0,0,
chteuchteu/Les-Joies-du-Sysadmin,1032.79,0.0,100.0,3,0,0,0,0.0,0.0,0,
bhargavchippada/Clickr,11409.78,0.0,100.0,3,0,0,0,0.0,0.0,0,
SilasAlroe/OctoPub-Android,853.01,0.0,100.0,3,0,0,0,0.0,0.0,0,
siyamed/android-shape-imageview,8758.07,0.0,100.0,2,0,0,0,0.0,0.0,0,
JoaquimLey/faboptions,11109.26,1318.3,88.1333,5,9,0,0,1.8,0.0,9,1234.36
vanilla-music/vanilla-music-lyrics-search,26301.9,0.0,100.0,7,0,0,0,0.0,0.0,0,
oaken-source/exceer,730.88,172.81,76.3561,4,1,0,0,0.25,0.0,1,730.88
Kaljurand/Diktofon,27.73,0.0,100.0,2,1,0,0,0.5,0.0,1,27.73
vanilla-music/vanilla-music-cover-fetch,24264.0,0.0,100.0,12,0,0,0,0.0,0.0,0,
timstableford/P-BrainAndroid,3818.3,180.62,95.2695,7,4,0,0,0.571429,0.0,4,954.58
garmax1/material-flashlight,24360.63,0.0,100.0,3,0,0,0,0.0,0.0,0,
Adrianotiger/qr2web,43825.5,0.0,100.0,8,0,0,0,0.0,0.0,0,
sukso96100/zionbob,46.57,0.0,100.0,2,0,0,0,0.0,0.0,0,
jamcar23/GeniPass-Android,92.72,0.0,100.0,3,0,0,0,0.0,0.0,0,
NordicSemiconductor/nRF-Logger-API,21649.44,0.0,100.0,3,0,0,0,0.0,0.0,0,
drpain/blink,4.54,0.0,100.0,2,0,0,0,0.0,0.0,0,
hkohlsaat/gsp_vertretungen,10923.06,0.0,100.0,2,0,0,0,0.0,0.0,0,
bdelville/bohurt-mapper,4822.8,0.0,100.0,3,0,0,0,0.0,0.0,0,
aurasphere/blue-pair,28309.82,15942.92,43.6841,2,5,0,0,2.5,0.0,5,5661.96
TobiasBielefeld/Simple-Brick-Games,7620.84,0.0,100.0,7,0,0,0,0.0,0.0,0,
theScrabi/Terminightor,13202.55,766.97,94.1907,11,3,0,0,0.272727,0.0,3,4400.85
kconger/org.thecongers.mtpms,14111.53,0.0,100.0,3,0,0,0,0.0,0.0,0,
tasomaniac/MuzeiComicsCovers,28402.53,0.0,100.0,4,0,0,0,0.0,0.0,0,
ftlno/abakaffe-android,120.97,7.21,94.0424,3,2,0,0,0.666667,0.0,2,60.48
S64/android-radiobutton-extended,892.15,0.0,100.0,5,0,0,0,0.0,0.0,0,
MirakelX/mirakel-dashclock,2322.23,0.0,100.0,2,0,0,0,0.0,0.0,0,
bgd-point/daily-dhamma,5255.04,631.21,87.9884,6,3,0,0,0.5,0.0,3,1751.68
diegocarloslima/FloatingGroupExpandableListView,3302.8,2540.79,23.0716,3,11,0,0,3.666667,0.0,11,300.25
ITVlab/Family-Calendar,143.44,0.0,100.0,6,0,0,0,0.0,0.0,0,
srolanh/ornamenti-fraktali,5491.28,0.0,100.0,2,0,0,0,0.0,0.0,0,
mehmetakiftutuncu/Muezzin,38471.15,0.0,100.0,4,0,0,0,0.0,0.0,0,
w9jds/MarketBot,731.48,0.0,100.0,4,0,0,0,0.0,0.0,0,
DamienOReilly/PrepayCredit,27072.9,7478.03,72.3782,9,6,0,0,0.666667,0.0,6,4512.15
j4velin/HueNotifier,142.04,0.0,100.0,2,0,0,0,0.0,0.0,0,
caarmen/youreawinner,25060.94,16589.98,33.8014,2,2,0,0,1.0,0.0,2,12530.47
micolous/frogjump,19704.03,0.0,100.0,3,2,0,0,0.666667,0.0,2,9852.01
louistsaitszho/Erg-Alpha,511.78,413.1,19.2817,5,4,0,0,0.8,0.0,4,127.95
ITVlab/SubChannel,1800.32,0.0,100.0,6,0,0,0,0.0,0.0,0,
michaeltroger/sensor-visualization,0.87,0.0,100.0,2,0,0,0,0.0,0.0,0,
mitch-b/whoisit-android,363.61,363.61,0.0,2,3,0,0,1.5,0.0,3,121.2
hgzojer/dice,35872.96,0.0,100.0,7,0,0,0,0.0,0.0,0,
AEFeinstein/Selfr,37.78,0.0,100.0,2,0,0,0,0.0,0.0,0,
michelelacorte/ForceTouch,246.94,0.0,100.0,2,0,0,0,0.0,0.0,0,
enricocid/Simply-Solid,6712.53,0.0,100.0,14,0,0,0,0.0,0.0,0,
judovana/FlashBalknaAndroid,31147.03,0.0,100.0,9,0,0,0,0.0,0.0,0,
gjedeer/androidwisprclient,19192.52,0.0,100.0,4,0,0,0,0.0,0.0,0,
ascendedguard/android-kanji-fix,28484.19,15561.47,45.368,8,3,0,0,0.375,0.0,3,9494.73
iamrichardjones/MnemonicRevisionHelper-android,710.56,0.0,100.0,7,0,0,0,0.0,0.0,0,
bward/gctgs-app,136.62,0.0,100.0,4,0,0,0,0.0,0.0,0,
MostafaGazar/CustomShapeImageView,128.46,0.0,100.0,3,0,0,0,0.0,0.0,0,
crashlytics/cannonball-android,8584.85,0.0,100.0,6,0,0,0,0.0,0.0,0,
juliome10/DoubleViewPager,2341.45,0.0,100.0,3,0,0,0,0.0,0.0,0,
MohammedRashad/Donne,240.49,0.0,100.0,2,0,0,0,0.0,0.0,0,
arunkumar9t2/chameleon-live-wallpaper,17.64,0.0,100.0,2,0,0,0,0.0,0.0,0,
kflog-project/Cumulus,74883.93,17741.23,76.3084,58,62,0,0,1.068966,0.0,62,1207.81
suragch/aePronunciation,21989.58,0.0,100.0,3,0,0,0,0.0,0.0,0,
jgaa/VikingGTD,25679.18,25679.18,0.0,2,6,0,0,3.0,0.0,6,4279.86
dpcsoftware/Expenses,38951.09,800.75,97.9442,6,1,0,0,0.166667,0.0,1,38951.09
ksmirenko/cards-toefl,1758.51,0.0,100.0,4,0,0,0,0.0,0.0,0,
testica/text-scanner,15328.2,368.19,97.598,4,1,0,0,0.25,0.0,1,15328.2
ReyKoxha/nodebb-webview,11138.81,9634.77,13.5027,3,1,0,0,0.333333,0.0,1,11138.81
Nutomic/movecerts,199.19,0.64,99.6783,2,2,0,0,1.0,0.0,2,99.59
dhis2/dhis2-android-dashboard,23858.3,5529.16,76.825,6,4,0,0,0.666667,0.0,4,5964.57
ueman/CampusCardReader,1175.22,0.0,100.0,3,0,0,0,0.0,0.0,0,
mediavrog/integrated-rating-request,4482.13,1761.6,60.6973,4,2,0,0,0.5,0.0,2,2241.07
jeffisaak/diceware-pass-gen,25694.93,0.0,100.0,9,0,0,0,0.0,0.0,0,
mo271/guessaday,4.29,0.0,100.0,2,0,0,0,0.0,0.0,0,
ogiba/StyleableShareDialog,340.4,0.0,100.0,2,0,0,0,0.0,0.0,0,
johnkil/Android-ProgressFragment,3713.04,0.0,100.0,4,0,0,0,0.0,0.0,0,
Piasy/HandyWidgets,121.69,121.69,0.0,2,1,0,0,0.5,0.0,1,121.69
jiangpeng79/antrace,23919.55,0.0,100.0,5,0,0,0,0.0,0.0,0,
sanlinnaing/MUA-Keyboard,827.02,0.0,100.0,2,1,0,0,0.5,0.0,1,827.02
meefik/tzupdater,35735.84,0.0,100.0,6,0,0,0,0.0,0.0,0,
JordanLongstaff/Artemis-Messenger,6945.99,0.0,100.0,13,0,0,0,0.0,0.0,0,
jtechapps/FloppyThreeD,128.5,15.36,88.0494,2,1,0,0,0.5,0.0,1,128.5
yeriomin/SmsScheduler,13854.46,0.0,100.0,5,0,0,0,0.0,0.0,0,
vuze/vuze-remote-for-android,7873.49,0.0,100.0,9,0,0,0,0.0,0.0,0,
mkorcha/MediaButtonOverlay,32901.97,255.28,99.2241,11,1,0,0,0.090909,0.0,1,32901.97
cesardmoro/brewapp,793.93,238.47,69.9639,3,2,0,0,0.666667,0.0,2,396.97
cat-in-the-dark/FlashTransmitter,2807.42,0.0,100.0,2,0,0,0,0.0,0.0,0,
GoodBadOkay/RondoCalc,698.6,0.0,100.0,2,0,0,0,0.0,0.0,0,
zahid-ali-shah/SignatureView,20692.1,13640.9,34.0768,3,3,0,0,1.0,0.0,3,6897.37
smart-fun/TabStacker,17670.15,155.45,99.1203,8,3,0,0,0.375,0.0,3,5890.05
eigenein/joypad-android,19234.81,0.0,100.0,5,0,0,0,0.0,0.0,0,
vanillastatus/VanillaStatusApp,6860.01,3.46,99.9495,2,2,0,0,1.0,0.0,2,3430.0
andreyrd/ListLauncher,41381.28,19811.95,52.1234,5,12,0,0,2.4,0.0,12,3448.44
tim-sueberkrueb/ourgus,6719.75,404.84,93.9754,3,2,0,0,0.666667,0.0,2,3359.88
ppamorim/Cult,1.05,0.0,100.0,2,1,0,0,0.5,0.0,1,1.05
rom4ek/ArcNavigationView,30306.06,1774.27,94.1455,5,3,0,0,0.6,0.0,3,10102.02
d4rken/rootvalidator,26596.74,0.0,100.0,6,0,0,0,0.0,0.0,0,
Parrot-Developers/DronesWear,14091.22,0.0,100.0,6,0,0,0,0.0,0.0,0,
namsor/gendreapp,1206.9,0.0,100.0,5,0,0,0,0.0,0.0,0,
raydac/AndroidPirateDice,14.87,4.58,69.214,2,1,0,0,0.5,0.0,1,14.87
ajhodges/WifiCallingControls,17022.42,17022.42,0.0,5,11,0,0,2.2,0.0,11,1547.49
Xeratec/RoboControl,715.8,0.0,100.0,2,0,0,0,0.0,0.0,0,
NTUOSC/ntu-geocaching-android,11.19,0.0,100.0,3,0,0,0,0.0,0.0,0,
CoolONEOfficial/circles,518.33,0.0,100.0,2,0,0,0,0.0,0.0,0,
Manabu-GT/DesignOverlay-Android,7053.51,0.0,100.0,2,0,0,0,0.0,0.0,0,
ITVlab/Launch-On-Boot,19883.59,0.0,100.0,13,0,0,0,0.0,0.0,0,
matthill/darwinwallet,109.85,0.0,100.0,2,0,0,0,0.0,0.0,0,
jabstone/JABtalk,7071.66,0.0,100.0,4,0,0,0,0.0,0.0,0,
badoualy/morphy-toolbar,2752.92,0.0,100.0,6,0,0,0,0.0,0.0,0,
steverichey/Flappybalt,2125.73,0.0,100.0,2,0,0,0,0.0,0.0,0,
NightlyNexus/Material-Cards,1991.5,0.0,100.0,3,0,0,0,0.0,0.0,0,
Uberi/LegitimatelyTerrible,91.91,0.0,100.0,2,0,0,0,0.0,0.0,0,
ITVlab/neodash,1811.65,0.0,100.0,5,0,0,0,0.0,0.0,0,
doofmars/GHB-Traffic,8396.65,0.0,100.0,3,0,0,0,0.0,0.0,0,
buntata/buntata-app,12407.88,0.0,100.0,10,0,0,0,0.0,0.0,0,
hearsilent/Universal-CollapsingTabLayout,36522.59,0.0,100.0,2,0,1,0,0.0,0.0,0,
dumbfingers/AutoHosts,23.66,0.0,100.0,2,0,0,0,0.0,0.0,0,
rpahade3011/What-sNearby,3699.32,0.0,100.0,3,0,0,0,0.0,0.0,0,
arjunkomath/mjuzik,44.99,0.0,100.0,2,0,0,0,0.0,0.0,0,
danirod/jumpdontdie,7821.97,0.0,100.0,3,1,0,0,0.333333,0.0,1,7821.97
Pikamander2/japanese-characters,32245.01,0.0,100.0,3,0,0,0,0.0,0.0,0,
mobilinkd/tnc1-android-config,16082.6,0.0,100.0,3,0,0,0,0.0,0.0,0,
xiprox/Dinner-Menu,454.55,0.0,100.0,4,0,0,0,0.0,0.0,0,
ArcticLabs/Opendoor,3696.06,0.0,100.0,3,0,0,0,0.0,0.0,0,
AlexandreG/Volume-Setter,5594.59,0.0,100.0,2,0,0,0,0.0,0.0,0,
Ozzyboshi/InternetBeatTimeWatchFace,12761.26,78.72,99.3832,6,1,0,0,0.166667,0.0,1,12761.26
barun-saha/software-engineering-lite,15048.59,0.0,100.0,3,0,0,0,0.0,0.0,0,
FRC1756-Argos/SpeedScout17-Android,1029.01,0.0,100.0,5,0,0,0,0.0,0.0,0,
AliMehrpour/ClipBox,4987.26,0.0,100.0,2,0,0,0,0.0,0.0,0,
Kerooker/rpg-npc-generator,189.78,189.78,0.0,2,4,32,32,2.0,1.0,36,5.27
sanderbaas/rainalarm-android,20618.31,0.0,100.0,15,0,0,0,0.0,0.0,0,
NPKStudios/OpenTesla,249.53,0.0,100.0,2,0,0,0,0.0,0.0,0,
romixch/KorbballMeisterschaftAndroidApp,530.6,0.0,100.0,3,0,0,0,0.0,0.0,0,
Scutterman/diabetes-tracker,669.15,0.0,100.0,3,0,0,0,0.0,0.0,0,
HackPlan/AndroidArcMenu,10783.01,0.0,100.0,2,0,0,0,0.0,0.0,0,
appwoodoo/appwoodoo-android-sdk,12003.84,0.0,100.0,10,0,0,0,0.0,0.0,0,
Digutsoft/dMetronome,8324.21,15.01,99.8197,5,1,0,0,0.2,0.0,1,8324.21
mudar/RotationQuickSetting,7494.3,0.0,100.0,5,0,0,0,0.0,0.0,0,
pjanczyk/lo1olkusz,5659.95,0.0,100.0,4,0,0,0,0.0,0.0,0,
ConsideredHamster/YetAnotherPixelDungeon,23687.57,0.0,100.0,13,0,0,0,0.0,0.0,0,
johnzweng/bankomatinfos,7788.82,322.67,95.8573,5,4,0,0,0.8,0.0,4,1947.21
Keripo/Beats,315.46,0.0,100.0,2,0,0,0,0.0,0.0,0,
dinosaurwithakatana/applist,420.17,0.0,100.0,2,0,0,0,0.0,0.0,0,
Mini-Stren/MultiThemer,6068.86,0.0,100.0,6,0,22,5,0.0,0.227273,5,1213.77
konifar/droidkaigi2016,262.81,262.81,0.0,7,34,0,0,4.857143,0.0,34,7.73
rignaneseleo/SlimSocial-for-Twitter,12065.85,0.0,100.0,5,0,0,0,0.0,0.0,0,
NanneHuiges/androblip,279.53,0.0,100.0,2,0,0,0,0.0,0.0,0,
PhilJay/ValueBar,140.61,0.0,100.0,3,0,0,0,0.0,0.0,0,
goldcoin/goldcoin-android,15908.07,0.0,100.0,4,0,0,0,0.0,0.0,0,
kurema/BDVideoLibraryManager,46228.66,0.0,100.0,6,0,0,0,0.0,0.0,0,
fossasia/ots15-companion,177.12,0.0,100.0,2,0,0,0,0.0,0.0,0,
itds-consulting/android-silent-ping-sms,17709.43,0.0,100.0,5,0,0,0,0.0,0.0,0,
mschlauch/comfortreader,23458.07,470.02,97.9963,8,2,0,0,0.25,0.0,2,11729.04
lsubel/amam-cordova,23928.39,0.0,100.0,7,0,0,0,0.0,0.0,0,
matejdro/TaskerTetherControl,6398.69,0.0,100.0,6,0,0,0,0.0,0.0,0,
Iridias/amarok-rc,25058.49,0.0,100.0,4,0,0,0,0.0,0.0,0,
anvo/piqwi,53521.16,0.0,100.0,5,0,0,0,0.0,0.0,0,
savanto/AnDICT-Android,5333.76,0.0,100.0,7,0,0,0,0.0,0.0,0,
pistatium/mahougen,6168.04,0.0,100.0,2,0,0,0,0.0,0.0,0,
chengxinlun/Stellarium-android,29272.71,3.57,99.9878,6,1,0,0,0.166667,0.0,1,29272.71
xenon92/xposed-disable-fullscreen-keyboard,19315.47,0.0,100.0,4,0,0,0,0.0,0.0,0,
xdtianyu/GTUResult,572.09,0.0,100.0,4,0,0,0,0.0,0.0,0,
zhuqianqian/wordchain,5152.63,69.46,98.6519,4,2,0,0,0.5,0.0,2,2576.32
clayfish/torch,192.8,192.8,0.0,3,2,0,0,0.666667,0.0,2,96.4
hckhanh/DemoDeployCI,1.71,0.0,100.0,6,0,0,0,0.0,0.0,0,
HozakaN/MaterialDesignColorPalette,2570.38,0.0,100.0,6,0,0,0,0.0,0.0,0,
crazyhitty/Rss-Manager,356.92,356.92,0.0,2,2,0,0,1.0,0.0,2,178.46
xmikos/SnooperStopper,4593.86,0.0,100.0,3,0,0,0,0.0,0.0,0,
yqritc/Android-ScalableVideoView,8013.64,0.0,100.0,3,0,0,0,0.0,0.0,0,
MacroYau/Blue2Serial,1098.98,0.0,100.0,2,0,0,0,0.0,0.0,0,
gvSIGAssociation/gvsig-mobile,46.33,0.0,100.0,2,0,0,0,0.0,0.0,0,
WebMajstr-/pebble-navigation,780.47,64.39,91.7503,2,1,0,0,0.5,0.0,1,780.47
obihann/swear-oclock,0.26,0.0,100.0,2,0,0,0,0.0,0.0,0,
unparalleled/viewitt,9237.1,0.0,100.0,4,0,0,0,0.0,0.0,0,
zawadz88/material-activity-chooser,5313.67,681.61,87.1724,5,1,0,0,0.2,0.0,1,5313.67
dynamitetuning/com.dynamite.heaterrc,18979.76,0.0,100.0,4,2,0,0,0.5,0.0,2,9489.88
hearsilent/AmazingAvatar,31921.5,0.0,100.0,9,0,0,0,0.0,0.0,0,
hrskrs/GestureFun,4.77,0.0,100.0,2,0,0,0,0.0,0.0,0,
raatmarien/Point-and-Hit,213.57,0.0,100.0,5,0,0,0,0.0,0.0,0,
thehellnet/myinfos,12833.08,0.0,100.0,3,0,0,0,0.0,0.0,0,
Matze1985/FPE-Rechner,11416.45,0.0,100.0,4,1,0,0,0.25,0.0,1,11416.45
enricocid/Storage-USB,6908.11,0.0,100.0,3,0,0,0,0.0,0.0,0,
RSATom/WebChimera-desktop,3885.25,0.0,100.0,2,0,0,0,0.0,0.0,0,
staceybellerose/BlankDaydream,6112.64,0.0,100.0,3,0,0,0,0.0,0.0,0,
deano2390/stunclient,171.08,0.0,100.0,3,0,0,0,0.0,0.0,0,
x-falcon/Virtual-Hosts,11204.71,0.0,100.0,6,0,0,0,0.0,0.0,0,
timothyb89/lifx-tasker,1394.9,632.43,54.6614,3,5,0,0,1.666667,0.0,5,278.98
JulienVdG/respi55-android,1307.37,0.0,100.0,4,0,0,0,0.0,0.0,0,
fin10/LaunchItUp,2961.14,0.0,100.0,4,0,0,0,0.0,0.0,0,
YUKAI/KonashiInspectorForAndroid,4847.42,0.0,100.0,3,0,0,0,0.0,0.0,0,
FRC1756-Argos/SpeedScout16-Android,217.77,0.0,100.0,4,0,0,0,0.0,0.0,0,
75py/CallConfirm,16779.38,16779.38,0.0,3,2,0,0,0.666667,0.0,2,8389.69
spheras/messic-android,7005.95,0.0,100.0,4,0,0,0,0.0,0.0,0,
thiagogsr/estatistica-computacional,97.96,0.0,100.0,3,0,0,0,0.0,0.0,0,
louislam/hkepc-unofficial-android,12791.67,0.0,100.0,2,0,0,0,0.0,0.0,0,
abitsinc/AB-ITS-Inc-Flashlight-Android,376.59,0.0,100.0,5,0,0,0,0.0,0.0,0,
garywzh/SimpleADB,7344.7,0.0,100.0,3,0,0,0,0.0,0.0,0,
tsekityam/Cangjie-Helper-for-Android,26.11,0.0,100.0,2,0,0,0,0.0,0.0,0,
telly/MrVector,188.77,0.0,100.0,2,0,0,0,0.0,0.0,0,
heinrichreimer/material-singleinputform,24005.64,9454.05,60.6174,7,4,0,0,0.571429,0.0,4,6001.41
dz0ny/mopidy-android-app,167.5,0.0,100.0,5,0,0,0,0.0,0.0,0,
EmmanuelMess/Voicer,7801.29,0.0,100.0,3,0,0,0,0.0,0.0,0,
hishamMuneer/BlackJack_Game,1006.01,0.0,100.0,3,0,0,0,0.0,0.0,0,
connyduck/pixelwallpaper,3570.26,0.0,100.0,2,0,0,0,0.0,0.0,0,
Jamesits/DisableSystemUpdateService,14.56,0.0,100.0,4,0,0,0,0.0,0.0,0,
vnidens/ClickableEditText,4480.9,0.0,100.0,5,0,0,0,0.0,0.0,0,
HairyRobot/BatteryWidget-gyu,14281.95,0.0,100.0,2,0,0,0,0.0,0.0,0,
CoolONEOfficial/bubbles,547.07,0.0,100.0,3,0,0,0,0.0,0.0,0,
NordicSemiconductor/Android-nRF-Beacon,7996.27,0.0,100.0,3,0,0,0,0.0,0.0,0,
meefik/wshell,31510.95,0.0,100.0,4,0,0,0,0.0,0.0,0,
TobiasBielefeld/Elliptic-Curves-Calculator,1337.32,0.0,100.0,2,0,0,0,0.0,0.0,0,
CiriousJoker/HomingCompass,2811.17,0.0,100.0,6,0,0,0,0.0,0.0,0,
mrieker/SshClient,2.39,0.0,100.0,3,0,0,0,0.0,0.0,0,
mespinosaz/HackmasterCombatCounter,0.99,0.0,100.0,2,0,0,0,0.0,0.0,0,
culebras/CalculadoraDeFechas,7270.43,0.0,100.0,4,0,0,0,0.0,0.0,0,
balaji-katika/Muhurat,183.17,0.0,100.0,2,0,0,0,0.0,0.0,0,
lomza/screenlookcount,267.71,0.0,100.0,2,0,0,0,0.0,0.0,0,
nfllab/SimplePackageInfo,4056.61,0.0,100.0,3,0,0,0,0.0,0.0,0,
ismangil/LinkFormatter,8.37,0.0,100.0,2,0,0,0,0.0,0.0,0,
WindSekirun/HannamQRReader,306.58,0.0,100.0,2,0,0,0,0.0,0.0,0,
johnkil/Android-CollapsibleSearchMenu,4.83,0.0,100.0,2,0,0,0,0.0,0.0,0,
wseemann/ServeStream,186.09,0.0,100.0,3,0,0,0,0.0,0.0,0,
guoguo12/chemistry-data,795.51,0.0,100.0,4,0,0,0,0.0,0.0,0,
RacZo/MotionToColor,13367.11,0.0,100.0,3,0,0,0,0.0,0.0,0,
AHelloWorldDev/MinimumWallpaper,95.69,0.0,100.0,3,0,0,0,0.0,0.0,0,
dillbyrne/HashPass,3403.63,0.0,100.0,2,0,0,0,0.0,0.0,0,
xgdgsc/archwikimanual,23573.99,0.0,100.0,5,0,0,0,0.0,0.0,0,
TheSheeps/PPG,786.52,0.0,100.0,5,0,0,0,0.0,0.0,0,
VelbazhdSoftwareLLC/Kechi,0.8,0.0,100.0,2,0,0,0,0.0,0.0,0,
cketti/MateLightAndroid,17470.67,0.0,100.0,4,0,0,0,0.0,0.0,0,
jeesmon/malayalam-bible-android,54957.86,0.0,100.0,2,0,0,0,0.0,0.0,0,
gongmingqm10/TrainTimer,11.44,0.0,100.0,3,0,0,0,0.0,0.0,0,
jereksel/ListViewSlide,46.55,0.0,100.0,4,0,0,0,0.0,0.0,0,
nutellarlz/JumpGo-Old,6753.44,0.0,100.0,2,0,0,0,0.0,0.0,0,
notriddle/null-launcher,5929.15,0.0,100.0,3,0,0,0,0.0,0.0,0,
ForkTheCode/Knot-It,4451.76,0.0,100.0,4,0,0,0,0.0,0.0,0,
bpear/Magisk-Quick-Toggle,22.9,0.0,100.0,2,0,0,0,0.0,0.0,0,
alefesouza/schoolapp,1245.12,0.0,100.0,6,0,0,0,0.0,0.0,0,
aauc/urticariapp,11046.52,0.0,100.0,3,0,0,0,0.0,0.0,0,
c-base/AmpelControl,17531.06,0.0,100.0,3,0,0,0,0.0,0.0,0,
timosl/bluetoothvolume,5529.9,0.0,100.0,3,0,0,0,0.0,0.0,0,
Techwolfy/TelepresenceRemote,1795.54,0.0,100.0,3,0,0,0,0.0,0.0,0,
MeilCli/SojoBusSharp,1.74,0.0,100.0,2,0,0,0,0.0,0.0,0,
