repository,issue_id,title,state,created_at,closed_at,labels
mkelandis/ReadingLog,34,Handle NPE on loading JSON in RestHelper,closed,2013-01-14T00:13:59Z,2013-01-14T03:20:57Z,bug
mkelandis/ReadingLog,17,"Upgrade issues - read date intitialization, and sorting.",closed,2013-01-08T02:25:43Z,2013-01-08T04:48:53Z,bug
mkelandis/ReadingLog,7,Add a license,closed,2013-01-04T03:19:42Z,2015-05-18T16:02:36Z,bug
flopshot/Capstone_Project,31,MapView Wind details too slow to initialize in nougat,open,2017-07-31T17:52:59Z,,Bug
flopshot/Capstone_Project,30,Fix Home Screen Logo in Lollipop,closed,2017-07-02T00:55:11Z,2017-08-01T18:26:52Z,Bug
flopshot/Capstone_Project,28,Marker Stats not showing in map,closed,2017-06-28T20:45:46Z,2017-07-02T00:39:27Z,Bug
flopshot/Capstone_Project,27,Change Home Screen Portrait Mode to stacked buttons,closed,2017-06-14T22:07:40Z,2017-06-14T23:48:55Z,"Bug, Enhancement"
flopshot/Capstone_Project,26,Can't delete player from saved round,closed,2017-06-13T17:45:40Z,2017-06-13T17:58:49Z,Bug
flopshot/Capstone_Project,25,Uniform cursor across all edittext fields in Hole Fragment,closed,2017-06-13T16:46:34Z,2017-06-13T17:21:22Z,Bug
flopshot/Capstone_Project,19,Update Widget to exclude deleted(disabled) players,closed,2017-05-18T20:12:35Z,2017-05-18T21:02:10Z,Bug
flopshot/Capstone_Project,17,Widget Average holes score calculation is incorrect,closed,2017-05-18T16:44:30Z,2017-05-18T21:02:10Z,Bug
flopshot/Capstone_Project,11,Fix hole radio Button dialog to accept dynamic hole counts by course,closed,2017-05-16T21:31:03Z,2017-05-18T22:13:07Z,Bug
flopshot/Capstone_Project,1,Wind Direction Arrow not pointing correctly,closed,2017-04-14T20:39:11Z,2017-04-14T22:18:15Z,Bug
anwilli5/coin-collection-android-US,238,Issue: Coin Set options should be checkboxes (not mint marks),closed,2025-03-25T05:11:55Z,2025-03-29T20:12:22Z,bug
anwilli5/coin-collection-android-US,74,Bug: Import from single-file CSV adds erroneous coins,closed,2022-01-20T05:02:32Z,2022-02-19T04:27:57Z,bug
anwilli5/coin-collection-android-US,52,Address StrickMode warnings,open,2021-02-07T06:13:37Z,,"bug, help wanted"
anwilli5/coin-collection-android-US,27,Problem with 1922 pennies in collections,open,2020-02-02T17:07:28Z,,bug
anwilli5/coin-collection-android-US,18,Add missing US coins,open,2020-02-01T18:20:34Z,,bug
