repository,issue_id,title,state,created_at,closed_at,labels
phil-lopreiato/frc-notebook,46,2015 Events Crashing,closed,2015-01-31T19:30:29Z,2015-02-01T00:49:20Z,bug
phil-lopreiato/frc-notebook,41,Update local events onResume,closed,2014-04-07T17:05:14Z,2014-04-14T00:02:59Z,bug
phil-lopreiato/frc-notebook,40,Don't show time offset when event isn't happening,closed,2014-04-07T16:58:21Z,2014-04-14T00:02:59Z,bug
phil-lopreiato/frc-notebook,38,Large TBA API Calls Make Google Analytics Angry,closed,2014-04-02T21:33:20Z,2014-04-03T03:34:30Z,bug
phil-lopreiato/frc-notebook,28,Next/Previous Match Out of Order in elims,closed,2014-03-10T18:14:50Z,2014-04-04T01:44:25Z,bug
phil-lopreiato/frc-notebook,27,Next/Previous ,closed,2014-03-10T18:14:36Z,2014-03-10T18:15:12Z,"bug, duplicate"
phil-lopreiato/frc-notebook,26,SharedPreference Null Pointers,closed,2014-03-10T02:42:37Z,2014-03-10T18:11:57Z,bug
phil-lopreiato/frc-notebook,21,Force Closes,closed,2014-03-10T02:25:54Z,2014-03-10T18:13:30Z,bug
phil-lopreiato/frc-notebook,16,Match Viewing,closed,2014-03-02T03:31:31Z,2014-03-02T04:06:32Z,bug
phil-lopreiato/frc-notebook,13,Match View Landscape,closed,2014-02-26T19:51:27Z,2014-03-10T22:27:32Z,bug
phil-lopreiato/frc-notebook,11,Screen Rotation,closed,2014-02-26T19:26:09Z,2014-02-27T00:30:10Z,bug
phil-lopreiato/frc-notebook,8,Theme Switching Bugs,open,2014-02-25T19:11:28Z,,bug
phil-lopreiato/frc-notebook,5,Note Deletion,closed,2014-02-22T03:54:36Z,2014-02-27T00:29:23Z,bug
phil-lopreiato/frc-notebook,4,Settings,closed,2014-02-22T03:50:36Z,2014-02-25T21:31:59Z,bug
trishika/DroidUPnP,38,exception ,closed,2014-04-03T09:10:24Z,2014-09-10T09:03:00Z,bug
trishika/DroidUPnP,36,Playback with (LG) TV is not working,open,2014-03-31T12:15:10Z,,bug
trishika/DroidUPnP,28,When changing orientation or locking screen browsing position is flush,closed,2013-04-28T12:15:16Z,2013-05-09T23:23:05Z,bug
trishika/DroidUPnP,27,Activity org.droidupnp.Main has leaked ServiceConnection org.droidupnp.controller.cling.ServiceListener$1@4152edd0 that was originally bound here,closed,2013-04-09T19:05:59Z,2013-04-20T18:48:49Z,bug
trishika/DroidUPnP,25,Crash when immediatly selected fresh discover content directory and browsing (auto for tablet),closed,2013-04-07T09:20:22Z,2013-04-09T18:24:10Z,bug
trishika/DroidUPnP,23,State should not be updated if app is pause/stop,closed,2013-04-01T09:54:17Z,2013-04-07T09:05:37Z,bug
trishika/DroidUPnP,21,Issue when changing orientation,closed,2013-03-10T18:58:26Z,2013-03-31T16:30:59Z,bug
trishika/DroidUPnP,15,Register to renderer change notification instead of polling,open,2013-02-27T09:56:46Z,,bug
trishika/DroidUPnP,9,Content directory & Renderer do not stay select when changing tabs,closed,2013-02-27T07:39:29Z,2013-03-02T10:46:55Z,bug
trishika/DroidUPnP,3,When seeking there is display glitch on interface,open,2013-02-27T07:31:15Z,,bug
trishika/DroidUPnP,2,When we load an element from a content directory to a renderer METADATA are not display,closed,2013-02-27T07:30:11Z,2013-03-03T11:13:44Z,bug
FlyingPumba/SoundBox,18,Plays song on skip,closed,2014-01-13T17:49:00Z,2014-02-02T06:03:00Z,bug
FlyingPumba/SoundBox,13,When pressing PlayAllRandom in the songslist the MediaPlayerService random state should be shuffled,open,2013-07-28T23:53:12Z,,bug
feragusper/BuenosAiresAntesYDespues,79,"Rotating the device from landscape to portrait in detail screen, goes back to list",closed,2020-02-02T12:54:15Z,2020-02-05T11:03:42Z,bug
feragusper/BuenosAiresAntesYDespues,72,No stack going back from details,closed,2018-02-14T23:27:41Z,2018-02-16T22:49:20Z,bug
feragusper/BuenosAiresAntesYDespues,27,Crash when trying to access to some historical record in landscape,closed,2016-03-15T01:15:27Z,2016-06-22T20:04:29Z,bug
feragusper/BuenosAiresAntesYDespues,3,Fix Analytics,closed,2016-01-02T16:14:45Z,2016-06-22T20:04:31Z,bug
yuukis/businessmap,35,java.lang.NoSuchMethodError at com.google.maps.api.android,open,2014-11-06T02:53:40Z,,"bug, user report"
yuukis/businessmap,34,java.lang.NullPointerException,closed,2014-07-20T17:12:27Z,2014-08-07T04:19:36Z,"bug, user report"
yuukis/businessmap,33,java.lang.NoSuchMethodError at OnInfoWindowElemTouchListener#startPress,closed,2014-06-23T11:57:13Z,2014-06-24T13:12:36Z,"bug, user report"
yuukis/businessmap,32,java.io.InvalidClassException at SerializationUtils#deserialize,closed,2014-06-23T11:48:49Z,2014-06-23T14:59:56Z,"bug, user report"
yuukis/businessmap,31,ふき出し内のボタン押下判定の不具合,closed,2014-06-19T09:12:50Z,2014-06-24T03:16:19Z,bug
yuukis/businessmap,24,java.lang.IllegalStateException at ContactsTaskFragment#showProgress,closed,2014-04-15T05:06:22Z,2014-05-15T00:16:33Z,"bug, user report"
yuukis/businessmap,23,java.lang.IllegalArgumentException at CursorJoinerWithIntKey#buildColumnIndiciesArray,open,2014-04-01T07:52:33Z,,"bug, user report"
yuukis/businessmap,22,電話帳読込時に画面回転すると読込中断,closed,2014-02-25T04:43:26Z,2014-04-10T02:43:22Z,bug
yuukis/businessmap,21,java.lang.NullPointerException at GeocoderUtils#getFromLocationNameToGoogleMaps,closed,2014-01-23T14:52:26Z,2014-02-07T07:05:45Z,"bug, user report"
yuukis/businessmap,19,java.lang.StackOverflowError at ArrayList#toArray,closed,2013-12-12T15:06:07Z,2014-02-07T07:05:45Z,"bug, user report"
yuukis/businessmap,18,android.database.CursorWindowAllocationException (GeocodingCacheDatabase#get),closed,2013-12-07T01:47:36Z,2013-12-10T23:52:23Z,"bug, user report"
yuukis/businessmap,17,ContactsMapFragment#onActivityCreated で NPE,closed,2013-11-23T02:27:32Z,2013-12-11T14:17:54Z,"bug, user report"
yuukis/businessmap,16,緯度0度 経度0度地点にマーカーが表示される場合がある,closed,2013-11-10T09:28:35Z,2013-11-14T17:56:45Z,bug
yuukis/businessmap,12,アプリ起動時に NullPointerException で終了する,closed,2013-10-28T16:30:06Z,2013-11-14T17:56:45Z,"bug, user report"
dsandler/markers,15,Foldable/multi-display support,open,2024-07-14T20:21:02Z,,bug
yuttadhammo/BodhiTimer,29,F-Droid fails to build,closed,2021-01-25T09:38:35Z,2021-03-20T11:41:26Z,bug
yuttadhammo/BodhiTimer,28,Timer glitches with wrong time after the screen is rotated,closed,2021-01-24T10:50:24Z,2021-02-13T10:58:10Z,bug
yuttadhammo/BodhiTimer,24,Preset timer malfunction,closed,2021-01-22T13:25:30Z,2021-02-13T10:58:52Z,bug
bogdanguranda/sokobug,89,ButtonAutoSelectProblem (Desktop only),open,2015-04-14T15:04:33Z,,bug
Werb/PickPhotoSample,35,Caused by: java.lang.ClassNotFoundException,closed,2017-10-23T13:40:52Z,2017-10-28T08:31:20Z,bug
Werb/PickPhotoSample,25,OutOfMemoryError on Preview,closed,2017-07-06T07:35:02Z,2017-10-23T07:25:50Z,bug
Werb/PickPhotoSample,17,HTC-e9pw 打不开相机,closed,2017-06-19T07:07:22Z,2017-06-19T10:45:36Z,bug
Werb/PickPhotoSample,16,select max photo limit not work,closed,2017-06-13T15:04:20Z,2017-06-19T10:45:54Z,bug
Werb/PickPhotoSample,10,Logging causes NPE when phone has no images,closed,2017-04-06T07:21:00Z,2017-04-17T12:19:37Z,bug
sgrailways/giftidea,1,Crash on backing out of adding an idea with no recipients,closed,2014-06-15T01:02:43Z,2014-06-15T06:44:27Z,bug
npes87184/S2TDroid,2,Handle file name conflict problem better in free version,closed,2018-04-12T14:34:50Z,2018-04-15T01:16:03Z,"bug, good first issue"
