repository,issue_id,title,state,created_at,closed_at,labels
joanpuigsanz/servdroid,9,Bad support of SVG file,closed,2013-09-24T06:04:34Z,2013-10-01T10:29:25Z,bug
joanpuigsanz/servdroid,8,Fix report from google play for 1.0.2,closed,2013-08-21T13:54:26Z,2013-10-21T15:06:12Z,bug
joanpuigsanz/servdroid,7,Fix report from google play for 1.0.2,closed,2013-08-21T13:53:50Z,2013-10-21T15:06:05Z,bug
joanpuigsanz/servdroid,5,Play store report for 1.0.0. Error injecting fragment,closed,2013-07-29T20:54:59Z,2013-08-06T12:11:01Z,bug
joanpuigsanz/servdroid,3,Killing the service while running,closed,2013-07-27T16:42:23Z,2013-07-29T20:48:39Z,bug
joanpuigsanz/servdroid,1,Log menu and hardware key,closed,2013-07-27T16:37:38Z,2013-07-29T20:48:55Z,bug
pR0Ps/LocationShare,1,Table formatting,closed,2013-04-03T03:52:36Z,2016-11-03T04:28:13Z,bug
rschnapp/BusMan,2,Message randomness is poor,closed,2015-01-02T18:00:24Z,2015-12-25T04:00:42Z,bug
rschnapp/BusMan,1,Use of DownloadManager causes accumulation of empty entries,open,2015-01-02T17:55:44Z,,bug
Garthi/Running-Leaderboard,23,Activity list,open,2015-09-07T21:18:21Z,,bug
Garthi/Running-Leaderboard,21,empty leader board,closed,2015-09-03T18:54:55Z,2015-09-07T05:28:42Z,bug
Garthi/Running-Leaderboard,9,Tab naming,closed,2015-08-11T19:34:16Z,2015-08-13T05:15:53Z,bug
iffa/SSKKY-ruokalista,1,Rating checks don't take year into account,closed,2015-12-27T16:41:53Z,2016-06-09T12:01:58Z,bug
j4velin/SystemAppMover,3,Error,closed,2014-07-09T16:48:11Z,2014-07-26T22:55:53Z,"bug, duplicate"
KonradIT/goprohero,1,Does it work on other phones ?,closed,2015-04-08T10:05:06Z,2015-05-15T20:13:40Z,bug
75py/Download-Confirm,2,拡張子が大文字の場合反応しない,closed,2014-12-14T09:22:30Z,2014-12-14T10:19:18Z,"bug, enhancement"
yakirwin/lev-isha,46,Bug: on certain situation the record button does not work,closed,2017-06-11T17:16:54Z,2017-06-12T10:22:03Z,"bug, abstract, gui"
