repository,issue_id,title,state,created_at,closed_at,labels
AfzalivE/AwakeDebug,7,Incorrect display timeout in UI,closed,2020-11-24T20:49:17Z,2020-11-28T22:01:21Z,bug
tvbarthel/SimpleThermometerProject,4,[NPE] TemperatureUpdaterService.onStartCommand,closed,2014-06-18T18:47:07Z,2014-06-22T11:52:20Z,bug
tvbarthel/SimpleThermometerProject,2,[UI | Tablet] The temperature is larger than the foreground circle,closed,2014-06-01T12:10:27Z,2014-06-01T12:17:47Z,bug
MJonesDev/Aperture-Gallery,7,Strange Crash on Recent Apps Menu,closed,2017-03-22T19:09:56Z,2017-04-13T15:12:18Z,"bug, help wanted"
MJonesDev/Aperture-Gallery,4,Gifs No Longer Play (Removed Code?),closed,2016-11-06T06:19:40Z,2017-07-03T03:50:34Z,bug
MJonesDev/Aperture-Gallery,3,Bug  - Cannot View Panorama Photos,closed,2016-09-01T16:43:55Z,2017-07-03T03:50:34Z,"bug, help wanted"
MJonesDev/Aperture-Gallery,1,Crashes when showing video tab,closed,2016-06-23T00:57:00Z,2016-08-09T02:15:19Z,bug
areina/elfeed-cljsrn,13,"After selecting a specific subscription, titlebar still shows ""All entries""",closed,2017-03-18T19:53:42Z,2023-07-19T09:36:22Z,bug
areina/elfeed-cljsrn,11,Links in entries/posts don't work,closed,2017-03-13T03:27:47Z,2023-07-14T16:25:51Z,bug
areina/elfeed-cljsrn,1,Configure server scene crashes if url doesn't start with http://,closed,2016-10-03T14:20:15Z,2016-10-04T16:58:01Z,bug
JakeLane/Toffeed,54,Login not working,closed,2017-02-09T11:58:24Z,2017-02-13T01:10:46Z,"bug, question"
JakeLane/Toffeed,44,Photos are tiny in image viewer. ,open,2016-04-17T13:56:16Z,,bug
JakeLane/Toffeed,35,Copy & Paste Broken,closed,2016-03-29T14:41:19Z,2016-04-03T04:08:24Z,bug
JakeLane/Toffeed,33,Marshmallow Crash,closed,2016-03-22T13:27:23Z,2016-03-23T07:18:16Z,bug
JakeLane/Toffeed,29,Open images in app,closed,2016-03-12T06:35:29Z,2016-03-19T09:26:40Z,bug
JakeLane/Toffeed,26,Fix scrolling,open,2016-03-12T06:14:14Z,,bug
JakeLane/Toffeed,20,"Comment bug? Also, that last update is beautiful. ",closed,2016-02-12T16:30:37Z,2016-02-13T03:36:52Z,bug
JakeLane/Toffeed,13,"Fullscreen video never works, also keep bottom buttons black? ",closed,2016-02-08T16:40:06Z,2016-02-10T07:15:28Z,bug
JakeLane/Toffeed,12,onSharedPreferenceChanged occasionally fails to fire,closed,2016-02-02T00:50:49Z,2016-02-03T09:30:17Z,bug
JakeLane/Toffeed,7,Cover photo fails,open,2016-01-26T17:02:00Z,,bug
sukso96100/zionhs,5,Style.xml,open,2014-12-31T12:15:43Z,,bug
bitbrain/clouboy,4,NPE in AndroidLauncher,closed,2015-07-18T09:32:56Z,2015-07-18T09:33:33Z,bug
bitbrain/clouboy,3,Incorrect top score record,closed,2015-07-16T22:05:43Z,2015-07-18T09:32:31Z,bug
bitbrain/clouboy,2,1000 clouds achievement does not work,closed,2015-07-16T22:05:04Z,2015-07-18T09:32:36Z,bug
bitbrain/clouboy,1,App explodes after restarting (OpenGL issue),open,2015-07-13T09:10:31Z,,bug
adamsp/DestinyRaidTimers,6,eglCreateContext failed with error: EGL_BAD_ALLOC,closed,2015-03-07T02:22:51Z,2015-03-07T02:26:32Z,bug
adamsp/DestinyRaidTimers,5,Fix Toolbar on Samsung devices,open,2015-02-27T13:56:27Z,,bug
ai212983/android-spinnerwheel,76,on wheel click ripple effect disable,closed,2016-12-06T09:47:07Z,2016-12-14T10:26:22Z,"bug, wont-fix, fdev"
ai212983/android-spinnerwheel,74,addClickListener is not working on clicking on current item,closed,2016-10-26T13:56:07Z,2016-12-14T10:35:35Z,bug
ai212983/android-spinnerwheel,69,onScrollingFinished called after onChanged,open,2016-08-16T18:18:31Z,,bug
ai212983/android-spinnerwheel,64,Failed to allocate a 889612 byte allocation with 867288 free bytes and 846KB until OOM,open,2016-01-02T21:07:00Z,,bug
ai212983/android-spinnerwheel,56,java.lang.IllegalArgumentException: width and height must be > 0 in AbstractWheelView.recreateAssets,open,2015-07-26T11:15:02Z,,bug
ai212983/android-spinnerwheel,49,I am not able to get selected date in horizontalView ?,open,2015-04-26T12:54:43Z,,bug
