repository,issue_id,title,state,created_at,closed_at,labels
CODA-Masters/Little-Nibolas,18,[Nivel actualidad] El nivel se completa cuando mueres alguna vez,closed,2014-12-20T22:33:17Z,2014-12-21T16:51:42Z,bug
CODA-Masters/Little-Nibolas,17,[Nivel actualidad] La papelera desaparece en Android,closed,2014-12-20T21:21:36Z,2014-12-21T16:49:52Z,bug
CODA-Masters/Little-Nibolas,16,[Menú] Arreglar tamaño relativo de los menús,closed,2014-12-12T20:45:01Z,2014-12-20T21:20:43Z,bug
CODA-Masters/Little-Nibolas,13,[Versión PC] Error al redimensionar la pantalla,closed,2014-12-11T16:42:46Z,2014-12-20T21:20:43Z,bug
CODA-Masters/Little-Nibolas,8,[Nivel espacial] Error al llegar a cierta puntuación,closed,2014-12-11T16:36:24Z,2014-12-12T16:06:22Z,bug
CODA-Masters/Little-Nibolas,7,Liberar correctamente recursos ,closed,2014-12-11T16:35:53Z,2014-12-20T21:20:43Z,bug
Katana-Steel/winehqappdb,2,Looks now to leak memory all over the place,closed,2015-10-19T06:32:45Z,2020-10-14T08:23:38Z,"bug, help wanted"
h3u/yauc,29,Migrate exif data fields,closed,2016-09-29T13:57:54Z,2016-10-03T15:12:24Z,bug
h3u/yauc,20,sign in on detail activity does not sync users items,closed,2016-08-31T11:24:13Z,2016-09-03T17:47:10Z,bug
h3u/yauc,14,Discontinued Sign in,closed,2016-08-08T10:51:47Z,2016-08-27T07:59:15Z,bug
h3u/yauc,13,Tab.setIcon() not working API19 ,closed,2016-08-06T15:44:16Z,2016-08-27T09:33:33Z,bug
movim/movim_android,5,Update targetSdk to 23,closed,2016-05-20T15:27:10Z,2016-05-21T09:34:20Z,bug
PGMacDesign/PGMacDesign-Android_RSR_Toolbox,4,HTC Calculator,open,2014-04-12T06:55:51Z,,bug
PGMacDesign/PGMacDesign-Android_RSR_Toolbox,3,Rotate Close,closed,2014-04-09T18:52:44Z,2014-04-14T06:35:50Z,bug
thiagobaptista/cartcalculator-android,7,"Misleading ""clear list"" icon",closed,2014-07-21T03:15:11Z,2014-08-25T05:46:28Z,bug
thiagobaptista/cartcalculator-android,3,List content is reset when screen orientation changes,closed,2014-06-01T14:19:47Z,2014-06-02T01:03:29Z,bug
EyeSeeTea/uicapp,62,Error typing numbers because should not be admitted,closed,2019-08-19T06:37:44Z,2019-08-22T12:28:18Z,"complexity - low (1hr), priority - high, type - bug"
EyeSeeTea/uicapp,58,error on multiple surnames,closed,2019-08-18T20:04:13Z,2019-08-22T12:12:43Z,"complexity - low (1hr), priority - high, type - bug"
