repository,issue_id,title,state,created_at,closed_at,labels
MiguelCatalan/MaterialSearchView,50,Bug at setSuggestions method,open,2016-01-15T08:25:00Z,,"bug, help wanted"
MiguelCatalan/MaterialSearchView,27,problem to add setSuggestions,closed,2015-10-27T17:39:06Z,2015-11-16T14:52:40Z,bug
MiguelCatalan/MaterialSearchView,14,White line at the bottom of MaterialSearchView if set transparent background. (some devices),open,2015-09-29T12:12:31Z,,bug
MiguelCatalan/MaterialSearchView,1,Workaround for pre-21 SDK ?attr/colorPrimary,closed,2015-09-22T18:37:10Z,2015-09-23T15:11:32Z,"bug, help wanted"
Microsoft/ProjectOxford-ClientSDK,52,Domain Specific Model Call From VisionServiceRestClient Android Not Returning Celebrity Data,closed,2016-04-18T17:29:15Z,2016-06-09T22:48:51Z,"bug, in progress, Computer Vision"
Microsoft/ProjectOxford-ClientSDK,49,Some errors when running the Linguistic.Sample.sln ,closed,2016-04-12T09:15:51Z,2016-07-07T05:03:04Z,"bug, in progress, Linguistic Analysis"
Microsoft/ProjectOxford-ClientSDK,47,LinguisticsClient json parse error,closed,2016-04-08T16:02:19Z,2016-07-07T05:04:12Z,"bug, in progress, Linguistic Analysis"
Microsoft/ProjectOxford-ClientSDK,23,how to obtain a subscription key for Face API?,closed,2016-02-19T08:46:07Z,2016-04-08T01:11:11Z,"bug, support"
Microsoft/ProjectOxford-ClientSDK,12,Speech Recognition hangs with wave files recorded on iOS,closed,2015-12-16T20:27:27Z,2016-04-08T01:08:32Z,bug
Microsoft/ProjectOxford-ClientSDK,4,Error executing POST request ,closed,2015-11-18T10:40:31Z,2016-07-07T18:01:14Z,"bug, support"
oxoooo/materialize,3,某些机型上生成的图标只有一个角,open,2015-11-28T12:26:15Z,,bug
oxoooo/materialize,2,交通银行生成后点图标，显示错误，无法进入应用,closed,2015-11-28T12:03:22Z,2015-11-28T12:10:20Z,bug
autowp/CANreader,15,4.0.1 compatibility,closed,2016-02-20T08:48:35Z,2016-03-15T20:33:06Z,bug
autowp/CANreader,14,Remove manifest-based usb persmissions,closed,2016-02-20T08:47:48Z,2016-02-22T15:45:26Z,bug
kartikarora/Transfer.sh,12,Single file upload issue but on server looks like multiple files were uploaded,open,2018-02-28T08:47:29Z,,bug
kartikarora/Transfer.sh,9,Multi file Upload,closed,2017-04-21T14:43:42Z,2024-03-21T01:38:30Z,"bug, help wanted"
kartikarora/Transfer.sh,1,List/Grid Toggle,closed,2016-07-07T10:13:51Z,2016-07-18T16:45:22Z,"bug, enhancement"
tkowalczyk/DevTalkMobile,33,"Resume ""play"" / ""pause"" buttons state when navigating other menu sections",open,2016-02-19T11:19:16Z,,bug
tkowalczyk/DevTalkMobile,22,After long tap on list element application crashed,closed,2015-05-22T07:43:24Z,2015-07-01T19:50:25Z,bug
tkowalczyk/DevTalkMobile,19,"Shortcut label should be ""DevTalk""...",closed,2015-05-21T09:24:47Z,2015-05-24T11:00:49Z,bug
tkowalczyk/DevTalkMobile,16,After clicking stop button you can't click play button (it doesn't work),closed,2015-05-20T20:43:17Z,2015-11-18T16:25:41Z,bug
tkowalczyk/DevTalkMobile,13,Binding problem with progress during playing podcast,closed,2015-05-02T12:45:49Z,2015-05-02T13:51:55Z,bug
tkowalczyk/DevTalkMobile,8,[iOS & Android] Hamburger menu icon,closed,2015-04-27T09:16:45Z,2015-05-01T11:24:23Z,bug
tkowalczyk/DevTalkMobile,7,[iOS & Android] Too long title names should be abbreviated,closed,2015-04-25T09:39:46Z,2015-05-02T15:04:56Z,bug
tkowalczyk/DevTalkMobile,6,[iOS] No icons in menu,closed,2015-04-25T09:38:35Z,2015-05-01T10:57:51Z,bug
VoteBrian/smoke-or-fire,6,Unnecessary Draws,open,2012-12-20T01:48:49Z,,bug
VoteBrian/smoke-or-fire,5,Crawling effect on outlines,closed,2012-12-20T00:13:48Z,2012-12-28T20:16:08Z,bug
VoteBrian/smoke-or-fire,4,"Expand ""Pass"" touch area",closed,2012-12-16T18:20:40Z,2012-12-16T23:57:52Z,bug
VoteBrian/smoke-or-fire,3,Crashes on Startup,open,2012-12-16T05:30:05Z,,bug
VoteBrian/smoke-or-fire,2,Activity life-cycle,closed,2012-12-15T04:58:52Z,2012-12-16T00:11:16Z,bug
VoteBrian/smoke-or-fire,1,Button icons,closed,2012-12-15T04:57:48Z,2012-12-31T17:00:34Z,bug
pocmo/WebCards,18,Overlay closed / invisible but intercepting touches,open,2016-07-03T08:00:57Z,,bug
pocmo/WebCards,17,Battery saver: Overlay not visible,open,2016-07-02T06:46:12Z,,bug
mappiamo/mapi-app,31,Social sharing,open,2015-10-05T18:21:48Z,,bug
mappiamo/mapi-app,30,Download App Gal Reality,open,2015-09-23T07:32:03Z,,"bug, realtà aumentata"
mappiamo/mapi-app,29,Impostazioni,open,2015-09-23T07:30:52Z,,"bug, home page"
mappiamo/mapi-app,28,Lingua it-en,open,2015-09-23T07:30:03Z,,bug
mappiamo/mapi-app,26,Meta informazioni,open,2015-09-23T07:27:13Z,,"bug, dettaglio poi"
mappiamo/mapi-app,25,Liste POI,closed,2015-09-23T07:26:28Z,2015-09-24T13:28:10Z,"bug, lista poi"
