repository,total_releases,failed_releases,change_failure_rate_percent,cfr_level
arcao/Geocaching4Locus,25,5,20.0,High
ekux44/LampShade,11,0,0.0,Elite
spacecowboy/NotePad,30,12,40.0,Medium
farmerbb/Taskbar,13,0,0.0,Elite
PhenoApps/Coordinate,8,2,25.0,High
klausw/hackerskeyboard,10,0,0.0,Elite
BombusMod/BombusMod,8,0,0.0,Elite
SimpleMobileTools/Simple-Notes,100,25,25.0,High
mosmetro-android/mosmetro-android,22,5,22.73,High
marunjar/anewjkuapp,43,0,0.0,Elite
bk138/multivnc,12,5,41.67,Medium
shlusiak/Freebloks-Android,2,0,0.0,Elite
TakWolf/CNode-Material-Design,6,1,16.67,High
PaperAirplane-Dev-Team/BlackLight,1,1,100.0,Low
hazuki0x0/YuzuBrowser,111,11,9.91,Elite
NineWorlds/serenity-android,15,7,46.67,Low
pingidentity/ldapsdk,35,0,0.0,Elite
praveendath92/MDroid,21,6,28.57,High
citiususc/calendula,18,5,27.78,High
Grarak/KernelAdiutor,3,0,0.0,Elite
eleybourn/Book-Catalogue,1,0,0.0,Elite
Waboodoo/HTTP-Shortcuts,74,7,9.46,Elite
AnaelMobilia/NextINpact-Unofficial,57,29,50.88,Low
wizmer/syncorg,2,0,0.0,Elite
airbnb/lottie-android,32,15,46.88,Low
mtransitapps/mtransit-for-android,1,0,0.0,Elite
kaltura/KalturaGeneratedAPIClientsAndroid,53,0,0.0,Elite
TUWien/DocScan,10,0,0.0,Elite
wax911/anitrend-app,48,10,20.83,High
Maxr1998/MaxLock,42,8,19.05,High
Drutol/MALClient,8,0,0.0,Elite
vase4kin/TeamCityApp,65,1,1.54,Elite
kvj/mobileorg-android,3,0,0.0,Elite
y20k/transistor,90,0,0.0,Elite
grote/Transportr,28,22,78.57,Low
CaptainSpam/geohashdroid,39,3,7.69,Elite
google/zooshi,1,0,0.0,Elite
cohenadair/anglers-log,47,32,68.09,Low
ironjan/metal-only,2,0,0.0,Elite
VoIPGRID/vialer-android,8,0,0.0,Elite
CINPLA/neuronify,23,8,34.78,Medium
mcruncher/worshipsongs-android,10,3,30.0,High
GreenSkinMonster/hipda,82,0,0.0,Elite
mikepenz/Android-Iconics,115,20,17.39,High
osfans/trime,15,4,26.67,High
googlesamples/android-testdpc,23,0,0.0,Elite
blurpy/kouchat-android,4,0,0.0,Elite
theblackwidower/KanaQuiz,18,0,0.0,Elite
equeim/tremotesf-android,29,1,3.45,Elite
segler-alex/RadioDroid,35,6,17.14,High
SimpleMobileTools/Simple-Camera,82,17,20.73,High
akvo/akvo-caddisfly,31,0,0.0,Elite
arthurbenemann/surveygcp,2,0,0.0,Elite
criticalmaps/criticalmaps-android,14,0,0.0,Elite
damien5314/HoldTheNarwhal,14,0,0.0,Elite
WycliffeAssociates/translationRecorder,30,15,50.0,Low
lz1asl/CaveSurvey,23,1,4.35,Elite
eurofurence/ef-app_android,22,16,72.73,Low
martykan/forecastie,68,26,38.24,Medium
AllanWang/Frost-for-Facebook,44,36,81.82,Low
zulip/zulip-android,4,0,0.0,Elite
iiordanov/remote-desktop-clients,50,1,2.0,Elite
chteuchteu/Munin-for-Android,34,3,8.82,Elite
jeisfeld/Augendiagnose,88,0,0.0,Elite
wuan/bo-android,45,14,31.11,Medium
ThatCSharpGuy/app,12,0,0.0,Elite
calvinaquino/LNReader-Android,32,9,28.12,High
tinfoilhat/tinfoil-sms,5,3,60.0,Low
goodtime-productivity/Goodtime,36,3,8.33,Elite
Cedgetec/SchulinfoApp-android,46,0,0.0,Elite
ikarus23/MifareClassicTool,2,1,50.0,Low
nawrasg/Atlantis,2,0,0.0,Elite
kaltura/playkit-android,91,0,0.0,Elite
Longi94/bptf,23,0,0.0,Elite
open-eid/MOPP-Android,24,0,0.0,Elite
proninyaroslav/libretorrent,6,0,0.0,Elite
hcmlab/ssj,23,0,0.0,Elite
ApplETS/ETSMobile-Android2,6,0,0.0,Elite
nbusy/nbusy-android,20,0,0.0,Elite
dafi/photoshelf,2,0,0.0,Elite
Commit451/LabCoat,2,0,0.0,Elite
CalebQ42/SWAssistant,23,0,0.0,Elite
dhis2/dhis2-android-eventcapture,24,4,16.67,High
renard314/textfairy,2,0,0.0,Elite
Intermodalics/tango_ros,8,3,37.5,Medium
caarmen/poet-assistant,93,12,12.9,Elite
ushahidi/Ushahidi_Android,1,0,0.0,Elite
rm3l/maoni,14,0,0.0,Elite
DreierF/MyTargets,52,18,34.62,Medium
reloZid/android-anuto,28,9,32.14,Medium
TobiasBielefeld/Simple-Solitaire,48,0,0.0,Elite
souliss/soulissapp,4,0,0.0,Elite
Ifsttar/NoiseCapture,46,11,23.91,High
nbossard/packlist,17,10,58.82,Low
tasomaniac/OpenLinkWith,16,0,0.0,Elite
drymarev/rxbsuir,8,1,12.5,Elite
vilnius/tvarkau-vilniu,8,0,0.0,Elite
42cc/p2psafety,17,5,29.41,High
seemoo-lab/nexmon,1,0,0.0,Elite
dbahat/conventions,41,0,0.0,Elite
STOP2/stop2.0-traveller-client,7,1,14.29,Elite
FraunhoferCESE/madcap,6,4,66.67,Low
xbmc/Kore,24,0,0.0,Elite
felixb/smsdroid,4,0,0.0,Elite
rectangle-dbmi/Realtime-Port-Authority,26,8,30.77,Medium
PanicInitiative/PanicButton,15,7,46.67,Low
MGaetan89/ShowsRage,29,7,24.14,High
pyamsoft/home-button,8,0,0.0,Elite
lecho/hellocharts-android,13,8,61.54,Low
zfdang/zSMTH-Android,110,0,0.0,Elite
tgwizard/sls,35,25,71.43,Low
translation-cards/translation-cards,10,8,80.0,Low
Frozen-Developers/android-periodic-table,3,0,0.0,Elite
FAU-Inf2/fablab-android,4,0,0.0,Elite
qqq3/good-weather,9,0,0.0,Elite
OpenOverlayRouter/oor,8,0,0.0,Elite
SimpleMobileTools/Simple-Draw,72,1,1.39,Elite
team-mount-ventoux/JayPS-AndroidApp,2,0,0.0,Elite
PhenoApps/Field-Book,24,5,20.83,High
jmalenko/alarm-morning,12,0,0.0,Elite
martindisch/Kantidroid,27,0,0.0,Elite
enotio/Tempest,3,0,0.0,Elite
macGRID-SRN/hitchBOT,4,0,0.0,Elite
warmshowers/wsandroid,21,1,4.76,Elite
clementine-player/Android-Remote,10,1,10.0,Elite
jdm64/GenesisChess-Android,4,0,0.0,Elite
SimpleMobileTools/Simple-Calculator,54,8,14.81,Elite
yshrsmz/monotweety,11,0,0.0,Elite
Adventech/sabbath-school-android,19,1,5.26,Elite
cymcsg/UltimateRecyclerView,9,4,44.44,Medium
ixkor/CallerInfo,66,0,0.0,Elite
SecUSo/nophish,1,0,0.0,Elite
cauchymop/goblob,8,0,0.0,Elite
mtransitapps/ca-grand-river-transit-bus-android,1,0,0.0,Elite
CzBiX/v2ex-android,4,0,0.0,Elite
syedtalha/orion,29,0,0.0,Elite
zamojski/TowerCollector,70,6,8.57,Elite
chummydevteam/ProjektDashboard,1,0,0.0,Elite
blocktrail/blocktrail-wallet,1,0,0.0,Elite
BandUp/band-up-android,6,2,33.33,Medium
FrancisG-Massey/Capstone2016,3,1,33.33,Medium
LADOSSIFPB/nutrif,7,0,0.0,Elite
pvarry/intra42,9,0,0.0,Elite
sismics/reader,5,3,60.0,Low
Polidea/react-native-ble-plx,15,4,26.67,High
abrensch/brouter,1,0,0.0,Elite
ianhanniballake/ContractionTimer,8,0,0.0,Elite
MartinStyk/AndroidApkAnalyzer,22,1,4.55,Elite
mpv-android/mpv-android,35,15,42.86,Medium
caseydavenport/biermacht,19,0,0.0,Elite
mvarnagiris/expensius,15,2,13.33,Elite
Kegbot/kegbot-android,16,2,12.5,Elite
schnatterer/nusic,23,0,0.0,Elite
CoolMicApp/CoolMicApp-Android,2,0,0.0,Elite
berict/Tapad,20,18,90.0,Low
NileGroup/Meikade,6,0,0.0,Elite
SecUSo/privacy-friendly-weather,14,4,28.57,High
placelessplace/Weather,13,0,0.0,Elite
matejdro/PebbleNotificationCenter-Android,6,0,0.0,Elite
malmstein/yahnac,5,1,20.0,High
benoitletondor/EasyBudget,24,0,0.0,Elite
plusonelabs/calendar-widget,12,3,25.0,High
AChep/HeadsUp,7,0,0.0,Elite
rei-m/HBFav_material,9,0,0.0,Elite
gatheringhallstudios/MHGenDatabase,12,0,0.0,Elite
kamegami13/MonsterHunter4UDatabase,9,0,0.0,Elite
smallpath/psnine,28,2,7.14,Elite
guardianproject/ObscuraCam,6,0,0.0,Elite
phish108/MoblerCards,1,1,100.0,Low
mathisdt/trackworktime,28,3,10.71,Elite
username115/FRCScouting,33,0,0.0,Elite
janoliver/pOT-Droid,19,0,0.0,Elite
MyGrades/mygrades-app,6,0,0.0,Elite
rapidpro/ureport-android,6,0,0.0,Elite
jeisfeld/RandomImage,47,0,0.0,Elite
brarcher/loyalty-card-locker,39,3,7.69,Elite
Esri/maps-app-android,18,1,5.56,Elite
gatzka/android-scan,24,0,0.0,Elite
SteamGifts/SteamGifts,83,31,37.35,Medium
sangcomz/FishBun,30,3,10.0,Elite
kiall/android-tvheadend,46,25,54.35,Low
MythTV-Clients/MythtvPlayerForAndroid,14,9,64.29,Low
BuildmLearn/BuildmLearn-Toolkit-Android,4,0,0.0,Elite
arantius/TiVo-Commander,1,0,0.0,Elite
MemoryGroup/442repo,4,0,0.0,Elite
GLodi/GitNav,7,0,0.0,Elite
caarmen/scrumchatter,23,0,0.0,Elite
MarquisLP/World-Scribe,24,1,4.17,Elite
macrat/RuuMusic,5,0,0.0,Elite
nutritionfactsorg/daily-dozen-android,13,1,7.69,Elite
cbeyls/fosdem-companion-android,8,0,0.0,Elite
limboemu/limbo,8,0,0.0,Elite
danirod/rectball,17,9,52.94,Low
