repository,total_releases,failed_releases,change_failure_rate_percent,cfr_level
kshoji/USB-MIDI-Driver,9,2,22.22,High
nitroshare/nitroshare-android,2,0,0.0,Elite
saschpe/PlanningPoker,5,0,0.0,Elite
SecUSo/privacy-friendly-passwordgenerator,6,0,0.0,Elite
TriangleLeft/Flashcards,3,0,0.0,Elite
miketrewartha/positional,15,0,0.0,Elite
mtransitapps/ca-richelieu-citvr-bus-android,1,0,0.0,Elite
nvllsvm/Audinaut,17,4,23.53,High
VersoBit/WeatherDoge,10,0,0.0,Elite
NateShoffner/Seachem-Doser,3,0,0.0,Elite
stephentuso/welcome-android,24,0,0.0,Elite
greenaddress/abcore,29,0,0.0,Elite
ISchwarz23/SortableTableView,24,1,4.17,Elite
anastr/SpeedView,24,3,12.5,Elite
Quexten/UlricianumPlanner,29,6,20.69,High
m45t3r/retrobreaker,6,0,0.0,Elite
NordicSemiconductor/Android-nRF-Toolbox,50,2,4.0,Elite
RobinJ1995/DistroHopper,7,0,0.0,Elite
mtransitapps/ca-longueuil-rtl-bus-android,1,0,0.0,Elite
Z3r0byte/Magis,27,17,62.96,Low
j4velin/WiFi-Automatic,12,0,0.0,Elite
Leejjon/BluffPoker,1,0,0.0,Elite
mtransitapps/ca-thunder-bay-transit-bus-android,1,0,0.0,Elite
mtransitapps/ca-les-moulins-mrclm-bus-android,1,0,0.0,Elite
mtransitapps/ca-calgary-transit-train-android,1,0,0.0,Elite
ZafraniTechLLC/Companion-For-PUBG-Android,8,2,25.0,High
TheFakeMontyOnTheRun/knightsofalentejo,2,0,0.0,Elite
Samourai-Wallet/sentinel-android,1,0,0.0,Elite
OpenSeizureDetector/Android_Pebble_SD,2,0,0.0,Elite
mtransitapps/ca-brampton-transit-bus-android,1,0,0.0,Elite
jklmnn/ParkenDD,33,2,6.06,Elite
mtransitapps/ca-laval-stl-bus-android,1,0,0.0,Elite
lkorth/auto-fi,2,0,0.0,Elite
za419/Android-calculator,11,8,72.73,Low
gentlecat/counter,14,1,7.14,Elite
macleod2486/JavNav,20,0,0.0,Elite
elman22/pocket-amc-reader,12,0,0.0,Elite
sbhs-forkbombers/sbhs-timetable-android,10,6,60.0,Low
tranquvis/SimpleSmsRemote,5,0,0.0,Elite
3cky/bkemu-android,9,0,0.0,Elite
davidgraeff/Android-NetPowerctrl,18,0,0.0,Elite
Universav/UniversavPoke,1,1,100.0,Low
Dimezis/BlurView,26,2,7.69,Elite
kiruto/debug-bottle,3,0,0.0,Elite
yassirh/digitalocean-swimmer,4,0,0.0,Elite
souch/SMP,13,6,46.15,Low
WikiJourney/wikijourney_app,18,2,11.11,Elite
tjyu1040/GallyShuttle,6,0,0.0,Elite
mtransitapps/ca-sorel-varennes-citsv-bus-android,1,0,0.0,Elite
avast/android-styled-dialogs,8,0,0.0,Elite
junjunguo/PocketMaps,23,2,8.7,Elite
corcoran/Hangar,9,0,0.0,Elite
DevelopFreedom/logmein-android,5,0,0.0,Elite
thomasbrueggemann/timetracker,2,0,0.0,Elite
mtransitapps/ca-grande-prairie-transit-bus-android,1,0,0.0,Elite
Art2Cat/MoonlightNote,4,0,0.0,Elite
passy/Android-DirectoryChooser,1,0,0.0,Elite
krrishnarraj/clpeak,6,0,0.0,Elite
sylvek/itracing2,17,3,17.65,High
appteam-nith/Hillffair,2,0,0.0,Elite
In-Loco-Media/inlocomedia-android-sdk,2,0,0.0,Elite
jerrymannel/ISawABird,6,0,0.0,Elite
pizza/MaterialTabs,2,0,0.0,Elite
rignaneseleo/SlimSocial-for-Facebook,48,1,2.08,Elite
cattaka/AndroidSnippets,3,0,0.0,Elite
AIDEA775/UNCmorfi,10,0,0.0,Elite
JakeWharton/Telecine,10,0,0.0,Elite
hummatli/AndroidAppUpdater,6,0,0.0,Elite
iTwenty/Hashtagger,1,0,0.0,Elite
ybonjour/BillSplitter,2,0,0.0,Elite
ryanpconnors/art-thief,3,0,0.0,Elite
frc2052/FRC-Krawler,23,0,0.0,Elite
Mikuz/Boarder,2,0,0.0,Elite
Poeschl/TryAndRemove,2,0,0.0,Elite
BullshitPingu/Guide7,4,0,0.0,Elite
ronaldsmartin/APO-DZ-Android,6,1,16.67,High
mtransitapps/ca-vancouver-translink-ferry-android,1,0,0.0,Elite
jonasbleyl/recurrence,3,0,0.0,Elite
itcc-li/Lieventure-Android,2,0,0.0,Elite
mtransitapps/ca-montreal-amt-bus-android,1,0,0.0,Elite
shts/NogiFeed,12,0,0.0,Elite
mtransitapps/ca-roussillon-citrous-bus-android,1,0,0.0,Elite
aressler38/factor-trinomials,1,0,0.0,Elite
SubstanceMobile/GEM,2,1,50.0,Low
chrsep/Kingfish,1,0,0.0,Elite
jrvansuita/PickImage,29,2,6.9,Elite
niqdev/ipcam-view,8,0,0.0,Elite
khertan/ForRunners,4,2,50.0,Low
donkirkby/vograbulary,6,0,0.0,Elite
Skarafaz/mercury,9,0,0.0,Elite
hwki/SimpleBitcoinWidget,32,0,0.0,Elite
jpeddicord/speedofsound,3,0,0.0,Elite
awisus/Refugee-Aid,2,0,0.0,Elite
andereld/progark,2,0,0.0,Elite
kamontat/CheckIDNumberA,3,0,0.0,Elite
canyapan/DietDiaryApp,12,0,0.0,Elite
jmbowman/portabase,1,0,0.0,Elite
rootio/rootio_handset,3,0,0.0,Elite
mtransitapps/ca-le-richelain-citlr-bus-android,1,0,0.0,Elite
SmBe19/LD34,2,0,0.0,Elite
mars3142/toaster,2,0,0.0,Elite
hhroc/yellr-android,6,5,83.33,Low
mtransitapps/ca-west-coast-express-train-android,2,0,0.0,Elite
rahulkumar66/Performance-Tweaker,1,0,0.0,Elite
milindur/MdkControlApp,3,2,66.67,Low
krtkush/MarsExplorer,5,0,0.0,Elite
ChaosLeong/FxcnBeta,11,1,9.09,Elite
mtransitapps/ca-saskatoon-transit-bus-android,1,0,0.0,Elite
EarthstormSoftware/controllerformote-android,2,0,0.0,Elite
mtransitapps/ca-chambly-richelieu-carignan-citcrc-bus-android,1,0,0.0,Elite
mtransitapps/ca-sud-ouest-citso-bus-android,1,0,0.0,Elite
creativetrendsapps/SimplicityBrowser,3,0,0.0,Elite
DecentralizedAmateurPagingNetwork/DAPNETApp,23,9,39.13,Medium
santiago-hollmann/igcparser,6,0,0.0,Elite
MakinGiants/banjen,9,0,0.0,Elite
MD2Korg/mCerebrum-DataKit,50,0,0.0,Elite
Routelandia/routelandia-android,1,0,0.0,Elite
markormesher/android-fab,21,1,4.76,Elite
scoot-software/sms-android,10,0,0.0,Elite
AirVantage/av-phone-android,8,0,0.0,Elite
rmceoin/cominghome,7,1,14.29,Elite
akhbulatov/wordkeeper,12,0,0.0,Elite
JGerdes/Schauburgr,1,0,0.0,Elite
phw/PicardBarcodeScanner,14,0,0.0,Elite
jrzimmerman/bestrida-rn,3,1,33.33,Medium
tonikarppi/coherence,1,0,0.0,Elite
ElectricDynamite/pasty-app-android,3,1,33.33,Medium
greblus/aspeqt,7,0,0.0,Elite
CodeforChemnitz/TheaterWecker,1,0,0.0,Elite
ndhunju/dailyJournal,1,0,0.0,Elite
luankevinferreira/expenses,3,0,0.0,Elite
ennswi/AndroidCaldavSyncAdapater,8,1,12.5,Elite
rubenwardy/mtmods4android,16,0,0.0,Elite
langara/MyIntent,3,0,0.0,Elite
manso92/DADM,2,0,0.0,Elite
netmackan/ATimeTracker,11,5,45.45,Low
mtransitapps/ca-london-transit-bus-android,1,0,0.0,Elite
dlew/android-ragefaces,1,0,0.0,Elite
DenizUgur/ninegagsaver,9,0,0.0,Elite
recruit-lifestyle/FloatingView,29,1,3.45,Elite
mgolokhov/dodroid,26,6,23.08,High
turing-tech/MaterialScrollBar,72,13,18.06,High
8enet/AppOpsX,14,0,0.0,Elite
federicoiosue/checklistview,1,0,0.0,Elite
syniuhin/Readily,2,0,0.0,Elite
c3nav/c3nav-android,6,1,16.67,High
PaulKlinger/Sprog-App,17,0,0.0,Elite
Briseus/Lurker,1,0,0.0,Elite
mtransitapps/ca-l-assomption-mrclasso-bus-android,1,0,0.0,Elite
mick88/filemanager,1,0,0.0,Elite
phil-lopreiato/frc-notebook,19,6,31.58,Medium
oli107/material-range-bar,6,0,0.0,Elite
trishika/DroidUPnP,7,0,0.0,Elite
Kwamecorp/Fairphone,5,0,0.0,Elite
mikifus/padland,24,0,0.0,Elite
feragusper/BuenosAiresAntesYDespues,3,0,0.0,Elite
mtransitapps/ca-la-presqu-ile-citpi-bus-android,1,0,0.0,Elite
tarmoj/vclick,10,0,0.0,Elite
WebBluetoothCG/ble-test-peripheral-android,3,0,0.0,Elite
yuukis/businessmap,4,2,50.0,Low
tlewiscpp/QMineSweeper,1,0,0.0,Elite
smitnich/Subscreen,2,0,0.0,Elite
patrickfav/under-the-hood,13,0,0.0,Elite
antur84/GoSthlm,1,0,0.0,Elite
Werb/PickPhotoSample,16,2,12.5,Elite
hpedrorodrigues/ImageSearch,1,0,0.0,Elite
mtransitapps/ca-kamloops-transit-system-bus-android,2,0,0.0,Elite
graham22/SkyeTracker,1,0,0.0,Elite
npes87184/S2TDroid,12,0,0.0,Elite
bluejamesbond/TextJustify-Android,5,2,40.0,Medium
mtbii/RobotCA,1,0,0.0,Elite
midhunhk/random-contact,11,1,9.09,Elite
cortrium/AndroidApp,17,0,0.0,Elite
churichard/ru-direct,8,0,0.0,Elite
yDelouis/selfoss-android,26,11,42.31,Medium
mtransitapps/ca-st-john-s-metrobus-transit-bus-android,1,0,0.0,Elite
29jm/Kloggr-Qt,2,0,0.0,Elite
liskin/locus-rflkt-addon,13,0,0.0,Elite
mtransitapps/ca-ste-julie-omitsju-bus-android,1,0,0.0,Elite
damien5314/RhythmGameScoreCalculator,1,0,0.0,Elite
calintat/units,12,3,25.0,High
BloopApp/Bloop,3,1,33.33,Medium
lambdasoup/watchlater,4,0,0.0,Elite
mtransitapps/ca-hamilton-hsr-bus-android,1,0,0.0,Elite
Mark-Lauman/DominionPicker,11,1,9.09,Elite
NeuroTechX/eeg-101,5,0,0.0,Elite
Daskiworks/ghwatch,13,4,30.77,Medium
j4velin/MapsMeasure,1,0,0.0,Elite
Andre1299/TUI-ConsoleLauncher,19,0,0.0,Elite
CORDEA/MackerelClient,3,0,0.0,Elite
wsv-accidis/tmeit-android,8,3,37.5,Medium
chteuchteu/Freebox-Stats,4,0,0.0,Elite
nethergrim/bashorg,7,0,0.0,Elite
andryr/Harmony-Music-Player,3,0,0.0,Elite
VEINHORN/ScrollGalleryView,2,0,0.0,Elite
ccjeng/TPTrash,20,0,0.0,Elite
alexs20/SimpleSecretStorage,22,0,0.0,Elite
krtkush/LinearTimer,6,0,0.0,Elite
luke-c/Ikue,4,0,0.0,Elite
dozingcat/Vector-Pinball,14,0,0.0,Elite
nikolamilosevic86/owasp-seraphimdroid,3,1,33.33,Medium
notriddle/budget-envelopes,15,0,0.0,Elite
mtransitapps/ca-burlington-transit-bus-android,2,0,0.0,Elite
dimtion/Shaarlier,29,2,6.9,Elite
nextgis/nextgislogger,2,0,0.0,Elite
Lightstreamer/Lightstreamer-example-MPNStockList-client-android,6,0,0.0,Elite
PeterWithers/E36Timer,4,0,0.0,Elite
jrvansuita/MaterialAbout,29,0,0.0,Elite
SimonMarquis/Android-PreferencesManager,5,0,0.0,Elite
Djonique/Birdays,9,0,0.0,Elite
sschuberth/parandroid,1,0,0.0,Elite
appteam-nith/festnimbus,2,0,0.0,Elite
mtransitapps/ca-halifax-transit-bus-android,1,0,0.0,Elite
smuldr/xtime-android,8,3,37.5,Medium
ac-pm/Inspeckage,3,0,0.0,Elite
matejdro/PebbleDialer-Android,3,0,0.0,Elite
ryosua/SpeechWriter,14,0,0.0,Elite
mtransitapps/ca-regina-transit-bus-android,1,0,0.0,Elite
mtransitapps/ca-oakville-transit-bus-android,1,0,0.0,Elite
rtugores/alubia,3,0,0.0,Elite
PuffOpenSource/Puff-Android,3,1,33.33,Medium
michaelbarlow7/dungeon-crawl-android,12,0,0.0,Elite
fjoglar/ETSIT-News,3,0,0.0,Elite
DanielMartinus/Stepper-Touch,6,0,0.0,Elite
vijai1996/screenrecorder,6,1,16.67,High
pilot51/voicenotify,7,2,28.57,High
HancelParallelZero/hancel_android,2,0,0.0,Elite
worker8/TourGuide,2,0,0.0,Elite
scottyab/rootbeer,3,1,33.33,Medium
khasang/FixMyNumber,7,0,0.0,Elite
100Hackers/Plaper,2,0,0.0,Elite
mikljohansson/retroboy,1,0,0.0,Elite
Z3r0byte/Magistify,39,19,48.72,Low
peterfajdiga/SSZJ-Android,3,0,0.0,Elite
mtransitapps/ca-st-albert-transit-bus-android,1,0,0.0,Elite
mtransitapps/ca-moncton-codiac-transpo-bus-android,1,0,0.0,Elite
DeathsbreedGames/SpaceRun,10,0,0.0,Elite
cmusatyalab/faceswap,1,0,0.0,Elite
Beaconstac/Android-SDK,35,0,0.0,Elite
sdsmdg/trianglify,2,0,0.0,Elite
brarcher/rental-calc,5,0,0.0,Elite
R-a-dio/R-a-dio-Amazing-Android-App,7,0,0.0,Elite
mtransitapps/ca-milton-transit-bus-android,2,0,0.0,Elite
takke/DataStats,2,0,0.0,Elite
lewismcgeary/AndroidGameofLife,6,1,16.67,High
bleissem/babyphone,19,0,0.0,Elite
Nuvolect/SecureSuite-Android,3,0,0.0,Elite
tvbarthel/CameraColorPicker,5,0,0.0,Elite
dotWee/Mensaplan,1,0,0.0,Elite
rascarlo/AURdroid,20,2,10.0,Elite
ultramega/flavordex,5,0,0.0,Elite
kd345312/RoboApp,2,0,0.0,Elite
mattermost/mattermost-android-classic,14,0,0.0,Elite
Scaronthesky/UK-Gebaerden_Muensterland,11,5,45.45,Low
selcukcihan/sensors,3,0,0.0,Elite
mtransitapps/ca-sudbury-transit-bus-android,2,0,0.0,Elite
mtransitapps/ca-durham-region-transit-bus-android,2,0,0.0,Elite
mtransitapps/ca-haut-st-laurent-cithsl-bus-android,2,0,0.0,Elite
afollestad/photo-affix,18,0,0.0,Elite
SafeSlingerProject/SafeSlinger-Android,7,5,71.43,Low
thehyve/transmart-android,1,0,0.0,Elite
atomicptr/TrierBusTimeTracker,6,0,0.0,Elite
petalyaa/Launchpet2,7,5,71.43,Low
mtransitapps/ca-comox-valley-transit-system-bus-android,1,0,0.0,Elite
mtransitapps/ca-halifax-transit-ferry-android,2,0,0.0,Elite
caarmen/PalidaMuerte,9,2,22.22,High
plattysoft/Leonids,6,0,0.0,Elite
negusoft/holoaccent,6,0,0.0,Elite
DHM47/Native-Clip-Board,1,0,0.0,Elite
getsocial-im/getsocial-android-sdk,141,0,0.0,Elite
ccjeng/News,35,0,0.0,Elite
MoinApp/moinapp-android,18,0,0.0,Elite
takke/cpustats,5,0,0.0,Elite
Kaljurand/Arvutaja,7,0,0.0,Elite
nbd9/UnityPlanner,7,0,0.0,Elite
jd-alexander/Google-Directions-Android,9,0,0.0,Elite
0x1bad1d3a/Kaku,3,1,33.33,Medium
Nutomic/controldlna,10,0,0.0,Elite
laurentsebag/android-wifi-timer,4,2,50.0,Low
dbrant/unitconverter-android,4,0,0.0,Elite
chris-carneiro/Wi-Fi-Toggler,2,0,0.0,Elite
castorflex/SmoothProgressBar,9,0,0.0,Elite
Adonai/Man-Man,4,0,0.0,Elite
LTBuses/LTB-android,1,0,0.0,Elite
jmuthu/Poovali,3,0,0.0,Elite
andyiac/githot,1,0,0.0,Elite
martinmarinov/AndroidDvbDriver,7,0,0.0,Elite
eMerzh/OpenFixMap,1,0,0.0,Elite
meetshah1995/TechFest2k15,1,0,0.0,Elite
beta/cloudier,24,2,8.33,Elite
colesadam/hill-lists,2,0,0.0,Elite
tvbarthel/SimpleWeatherForecast,2,0,0.0,Elite
Trellmor/BerryTube,8,0,0.0,Elite
mtransitapps/ca-sherbrooke-sts-bus-android,1,0,0.0,Elite
MicMun/MiWoTreff,17,0,0.0,Elite
CytoDev/FrequencyCalculator,3,1,33.33,Medium
mlewe/arxiv-mobile,5,0,0.0,Elite
javiersantos/MaterialStyledDialogs,24,4,16.67,High
GrinnellAppDev/KDIC-Radio-Android,4,0,0.0,Elite
melkonyan/Timetable,12,4,33.33,Medium
msal/Shoutemo,5,0,0.0,Elite
tvbarthel/BlurDialogFragment,3,1,33.33,Medium
rastating/DroidBeard,24,18,75.0,Low
ganddev/breminale_android_mvvm,5,0,0.0,Elite
csuyzb/AndroidLinkup,5,0,0.0,Elite
GrinnellAppDev/Grinnell-DB-Android-Old,4,1,25.0,High
mtransitapps/ca-prince-george-transit-system-bus-android,2,0,0.0,Elite
mtransitapps/ca-guelph-transit-bus-android,1,0,0.0,Elite
shreyassood/2048,14,0,0.0,Elite
seht/volumenotification,27,9,33.33,Medium
baculsoft/curhatharga,7,0,0.0,Elite
unparalleled/kcards,5,0,0.0,Elite
chteuchteu/Blurify,7,0,0.0,Elite
jakemoritz/Tasking,1,0,0.0,Elite
Leaking/WeGit,1,0,0.0,Elite
yazeed44/MultiImagePicker,8,2,25.0,High
jorenham/fingerblox,3,0,0.0,Elite
andreiciubotariu/contact-notifier,9,0,0.0,Elite
fython/Blackbulb,16,1,6.25,Elite
rootkiwi/an2linuxclient,19,0,0.0,Elite
SecUSo/privacy-friendly-qr-scanner,15,5,33.33,Medium
crysxd/Studiportal-Checker,16,0,0.0,Elite
andreacioni/KeeLink,11,0,0.0,Elite
mtransitapps/ca-west-coast-express-bus-android,1,0,0.0,Elite
jbmlaird/DiscogsBrowser,1,0,0.0,Elite
MoveLab/erulet-android,12,0,0.0,Elite
ssaqua/ProximityService,11,0,0.0,Elite
NevRA/Giraffe,1,0,0.0,Elite
asalamon74/ztemezszam,4,0,0.0,Elite
artiomchi/Dual-Battery-Widget,1,0,0.0,Elite
mtransitapps/ca-squamish-transit-system-bus-android,1,0,0.0,Elite
rails-school/tiramisu,4,0,0.0,Elite
LordVulkan/Graphs,1,0,0.0,Elite
maoruibin/AppPlus,1,0,0.0,Elite
dbrant/mandelbrot-android,1,0,0.0,Elite
mtransitapps/ca-gta-up-express-train-android,1,0,0.0,Elite
mtransitapps/ca-strathcona-county-transit-bus-android,1,0,0.0,Elite
bobrofon/easysshfs,7,0,0.0,Elite
loadrunner/Facebook-Contact-Sync,2,0,0.0,Elite
Nimrodda/WizarDroid,7,0,0.0,Elite
hidroh/tldroid,3,0,0.0,Elite
0xnm/BTC-e-client-for-Android,9,0,0.0,Elite
pe-pan/flappy,4,0,0.0,Elite
dhbw-timetable/dhbw-timetable-android,3,3,100.0,Low
stealthcopter/AndroidNetworkTools,17,1,5.88,Elite
luckytoilet/WATisRain,3,1,33.33,Medium
passwordmaker/android-passwordmaker,13,0,0.0,Elite
el1t/Iolite,3,1,33.33,Medium
acadet/wanderer-android,2,0,0.0,Elite
dragthor/learning,5,0,0.0,Elite
pretix/pretixdroid,5,0,0.0,Elite
Sensirion/SmartGadget-Android,5,0,0.0,Elite
jmsalcido/catapi-android,1,0,0.0,Elite
valaczka/callofsuli,4,0,0.0,Elite
HamishONE/trackbus,2,0,0.0,Elite
meefik/linuxdeploy,16,0,0.0,Elite
suragch/Chimee,8,0,0.0,Elite
FRC-Utilities/QDriverStation-Mobile,6,0,0.0,Elite
RobTain/Busfahrplan-Passau,13,0,0.0,Elite
wsv-accidis/fm-fg-godsdekl,12,0,0.0,Elite
kshoji/BLE-MIDI-for-Android,10,2,20.0,High
project-manatee/manatee-android,1,0,0.0,Elite
anselm94/Torchie-Android,4,1,25.0,High
justindriggers/Ventriloid,1,0,0.0,Elite
penk/terrarium-app,2,0,0.0,Elite
michelelacorte/AndroidAppShortcuts,8,0,0.0,Elite
eladnava/redalert-android,3,0,0.0,Elite
kaliturin/BlackList,1,0,0.0,Elite
Nxt3/IO_Classic_WatchFace,20,3,15.0,Elite
athimel/zoumtarot,1,0,0.0,Elite
SecUSo/privacy-friendly-dicer,7,0,0.0,Elite
MoveLab/tigatrapp-android,8,0,0.0,Elite
mtransitapps/ca-cornwall-transit-bus-android,1,0,0.0,Elite
SimplicityApks/ReminderDatePicker,4,0,0.0,Elite
Rouji/Hupl,11,0,0.0,Elite
firejake308/Show-And-Sell,4,0,0.0,Elite
yaroslav-shlapak/Circle-Progress-View,15,0,0.0,Elite
Tarostar/QMLGalaxyPortal,9,1,11.11,Elite
GiorgioRegni/Binaural-Beats,1,0,0.0,Elite
ThibaudM/timelapse-sony,4,0,0.0,Elite
Fortyseven/ToneDef,6,0,0.0,Elite
MMAUG/FloodInfo,4,0,0.0,Elite
shubhamchaudhary/CCDroid,2,0,0.0,Elite
milosmns/Timecrypt,2,0,0.0,Elite
heinrichreimer/android-issue-reporter,7,0,0.0,Elite
ligi/AJShA,1,0,0.0,Elite
hzsweers/palettehelper,3,0,0.0,Elite
Androguide/Pimp_my_Z1,14,0,0.0,Elite
status-im/syng-client,1,0,0.0,Elite
omgitsjoao/wakatime-android-client,3,0,0.0,Elite
razorpay/razorpay-android-sample-app,29,0,0.0,Elite
fobid/webviewer-android,2,0,0.0,Elite
BenAlderfer/RIT-Dining-Planner-Android,3,1,33.33,Medium
mtransitapps/ca-montreal-bixi-bike-android,1,0,0.0,Elite
maxanier/Vertretungsplan,4,1,25.0,High
Onelio/ConnectU,2,0,0.0,Elite
mtransitapps/ca-chilliwack-transit-system-bus-android,1,0,0.0,Elite
andresoviedo/android-3D-model-viewer,10,1,10.0,Elite
justdave/MCStatus,8,2,25.0,High
cloud-emoticon/SmallCloudEmoji,12,0,0.0,Elite
mtransitapps/ca-st-catharines-transit-bus-android,1,0,0.0,Elite
mtransitapps/ca-banff-roam-transit-bus-android,1,0,0.0,Elite
joeyvanderbie/Bluetooth-LE-Library---Android,3,0,0.0,Elite
Nilhcem/hosts-editor-android,4,0,0.0,Elite
askii93/FileFly,1,0,0.0,Elite
Mygod/MygodSpeechSynthesizer-android,11,0,0.0,Elite
OneLight-Studio/onebike-android,2,0,0.0,Elite
swooby/alfred,2,0,0.0,Elite
sw926/ImageFileSelector,1,0,0.0,Elite
ColtanLabs/TapNote,2,0,0.0,Elite
apotter96/PowerOfGod,22,0,0.0,Elite
mtransitapps/ca-quebec-orleans-express-bus-android,1,0,0.0,Elite
afollestad/drag-select-recyclerview,19,0,0.0,Elite
mtransitapps/ca-central-fraser-valley-transit-system-bus-android,1,0,0.0,Elite
Qualeams/Android-Face-Recognition-with-Deep-Learning-Test-Framework,6,0,0.0,Elite
abhijitvalluri/fitnotifications,4,0,0.0,Elite
patrickfav/Dali,12,1,8.33,Elite
nick11roberts/Moka-Scanr,3,0,0.0,Elite
hanneseilers/Mensa-SH,7,0,0.0,Elite
jamesmontemagno/MeetupManager,1,0,0.0,Elite
dan-zx/twitt4droid,2,0,0.0,Elite
jreyes/mirror,2,0,0.0,Elite
ello/ello-android,2,0,0.0,Elite
jamesmorrisstudios/Randomly-RemindMe,4,0,0.0,Elite
JohnNPhillips/HistoryCleanerPro,15,0,0.0,Elite
hubbardgary/LondonTrails,6,0,0.0,Elite
bmarrdev/android-DecoView-charting,10,0,0.0,Elite
chenjishi/usite,1,0,0.0,Elite
meefik/busybox,12,0,0.0,Elite
sytolk/TaxiAndroidOpen,2,0,0.0,Elite
Mnkai/PGPClipper,13,2,15.38,High
brarcher/gift-card-guard,6,0,0.0,Elite
weihanglo/pycontw-mobile,1,0,0.0,Elite
bluedaniel/Kakapo-native,3,0,0.0,Elite
dhmncivichacks/isitrecyclingweek-android,2,0,0.0,Elite
hgzojer/picturetrainer,6,0,0.0,Elite
crysxd/mensa-furtwangen,8,0,0.0,Elite
AfzalivE/AwakeDebug,2,0,0.0,Elite
chikecodes/Debt-Manager,1,0,0.0,Elite
tvbarthel/SimpleThermometerProject,5,2,40.0,Medium
MJonesDev/Aperture-Gallery,1,0,0.0,Elite
StephanBezoen/tumblrlikes,2,0,0.0,Elite
areina/elfeed-cljsrn,5,0,0.0,Elite
JakeLane/Toffeed,14,8,57.14,Low
xmxiaocong/gim,1,0,0.0,Elite
trvlrch/trvlr-android,4,0,0.0,Elite
PaitoAnderson/SkrumazAndroid,6,0,0.0,Elite
sukso96100/zionhs,9,0,0.0,Elite
adamsp/DestinyRaidTimers,3,2,66.67,Low
garywzh/QuumiiBox,4,0,0.0,Elite
trikita/obsqr,3,0,0.0,Elite
mvhs-apps/mvhs-app,1,0,0.0,Elite
edubarr/header-decor,3,0,0.0,Elite
msal/muzei-nationalgeographic,10,1,10.0,Elite
Digitopia/PORTOphone-app,5,0,0.0,Elite
hpedrorodrigues/GZMD,5,0,0.0,Elite
bparmentier/WiFiKeyShare,4,2,50.0,Low
fobid/linkable-text-android,1,0,0.0,Elite
Skylark95/Amazon-App-Notifier,1,0,0.0,Elite
AyuntamientoDeXalapa/AppLimpiaXalapa,3,0,0.0,Elite
ratty3697/android-smart-animation-library,5,0,0.0,Elite
czak/retronix,1,0,0.0,Elite
mtransitapps/ca-lanaudiere-crtl-bus-android,1,0,0.0,Elite
0lvin/LightSensor,1,0,0.0,Elite
Lauszus/FaceRecognitionApp,5,0,0.0,Elite
championswimmer/Lifelog-Android-Library,2,0,0.0,Elite
SecUSo/privacy-friendly-dice-game,5,0,0.0,Elite
AlleIT/Alleinfo_Android,1,1,100.0,Low
mtransitapps/ca-red-deer-transit-bus-android,1,0,0.0,Elite
V2Ray-Android/Actinium,18,11,61.11,Low
DeveloperPaul123/FilePickerLibrary,6,3,50.0,Low
marcoscgdev/HeaderDialog,6,0,0.0,Elite
SpiritCroc/Modular-Remote,6,0,0.0,Elite
yyunikov/android-dim-block,1,0,0.0,Elite
TASnomad/Fallon-react-native-app,6,0,0.0,Elite
flavioarfaria/KenBurnsView,4,2,50.0,Low
prakhar1989/ColorPhun,1,0,0.0,Elite
agwells/dotdash-keyboard-android,3,0,0.0,Elite
cgogolin/library,5,0,0.0,Elite
samueltardieu/harassme,1,0,0.0,Elite
kaichunlin/android-transition,7,1,14.29,Elite
matt-allen/repay-android,3,0,0.0,Elite
jtmcn/archwiki-viewer,6,0,0.0,Elite
Leakedbits/Codelabs,5,0,0.0,Elite
IYCI/MyClass,2,0,0.0,Elite
APSL/react-native-meneame,2,0,0.0,Elite
Mygod/Harmonizer,8,0,0.0,Elite
StefanOltmann/Kaesekaestchen,9,0,0.0,Elite
kenumir/Pinger,27,0,0.0,Elite
jt19056/Notey,2,1,50.0,Low
honza-kasik/OlomouckyBazen,10,4,40.0,Medium
opticod/Opti-Movies,3,0,0.0,Elite
abhijith0505/CarbonContacts,1,0,0.0,Elite
tangalbert919/nds4droid,2,1,50.0,Low
diegoponciano/biblia-ccb,3,2,66.67,Low
DarkMentat/GuitarScalesBoxes,2,0,0.0,Elite
cornedor/mayhem,2,0,0.0,Elite
pmarks-net/chromadoze,7,0,0.0,Elite
akechi/project-l,1,0,0.0,Elite
KentShikama/SoundLocker,5,0,0.0,Elite
media3-0/AplikacjaParlament,7,0,0.0,Elite
FabriceMk/android-mycv,3,1,33.33,Medium
baz8080/folkets_android,3,0,0.0,Elite
auselen/graph-bender,1,0,0.0,Elite
flopshot/Capstone_Project,4,3,75.0,Low
LudySu/LrcJaeger,6,0,0.0,Elite
almapp/uc-maps-mobile,1,0,0.0,Elite
anwilli5/coin-collection-android-US,2,0,0.0,Elite
nning/imgshr-android,2,0,0.0,Elite
whily/calendarlookup,1,0,0.0,Elite
oyegorov/memorazor,4,0,0.0,Elite
toastkidjp/SearchWidget_Android,11,0,0.0,Elite
MariusVolkhart/LocalStorage,5,0,0.0,Elite
gerald1248/hollows,7,0,0.0,Elite
kyriog/VoxPopuli-Android,4,2,50.0,Low
SimenCodes/heads-up,4,0,0.0,Elite
MPieter/Notification-Analyser,4,0,0.0,Elite
gsantner/kimai-android,7,0,0.0,Elite
SebastianOltmanns/birthdays,13,0,0.0,Elite
curlymorphic/involve,2,0,0.0,Elite
