repository,T_total_hours,T_downtime_hours,availability,N_releases,N_bugs,N_total_builds,N_failed_builds,bug_error_rate,build_error_rate,N_failures,mtbf_hours,availability_percent,bug_error_rate_pct,build_error_rate_pct,availability_level,bug_error_rate_level,build_error_rate_level,mtbf_level
mpiannucci/HackWinds-Android,29271.17,29271.17,0.0,54,49,0,0,0.907407,0.0,49,597.37,0.0,0.00907407,0.0,Low,Medium,Elite,High
kollerlukas/Camera-Roll-Android-App,8438.22,8438.22,0.0,18,51,0,0,2.833333,0.0,51,165.46,0.0,0.02833333,0.0,Low,Low,Elite,Medium
keyboardsurfer/Crouton,9111.62,9111.62,0.0,5,19,0,0,3.8,0.0,19,479.56,0.0,0.038,0.0,Low,Low,Elite,High
drpout/boilr,19538.3,19538.3,0.0,9,42,0,0,4.666667,0.0,42,465.2,0.0,0.04666667,0.0,Low,Low,Elite,High
Team980/ThunderScout-Android,26445.38,7654.56,71.0552,19,1,0,0,0.052632,0.0,1,26445.38,7105.5199999999995,0.0005263199999999999,0.0,Elite,Elite,Elite,Elite
Yubico/yubioath-android,20810.15,0.0,100.0,9,0,0,0,0.0,0.0,0,,10000.0,0.0,0.0,Elite,Elite,Elite,
rmake/cor-engine,8694.29,0.0,100.0,7,0,0,0,0.0,0.0,0,,10000.0,0.0,0.0,Elite,Elite,Elite,
SaschaWillems/VulkanCapsViewer,47730.37,11452.23,76.0064,28,6,127,55,0.214286,0.433071,61,782.47,7600.64,0.00214286,0.433071,Elite,High,Low,Elite
enricocid/iven-feed-reader,22318.94,0.0,100.0,42,0,0,0,0.0,0.0,0,,10000.0,0.0,0.0,Elite,Elite,Elite,
blinskey/greek-reference,22626.47,0.0,100.0,22,0,0,0,0.0,0.0,0,,10000.0,0.0,0.0,Elite,Elite,Elite,
systemallica/ValenBisi,44150.68,0.0,100.0,28,0,0,0,0.0,0.0,0,,10000.0,0.0,0.0,Elite,Elite,Elite,
Mygod/nju-portal-login-android,12267.34,6.81,99.9445,31,4,0,0,0.129032,0.0,4,3066.84,9994.45,0.0012903200000000002,0.0,Elite,High,Elite,Elite
futurice/meeting-room-tablet,21100.62,123.46,99.4149,8,3,0,0,0.375,0.0,3,7033.54,9941.49,0.00375,0.0,Elite,High,Elite,Elite
msimonides/homerplayer,51092.34,0.0,100.0,34,0,2,0,0.0,0.0,0,,10000.0,0.0,0.0,Elite,Elite,Elite,
RCasatta/EternityWallAndroid,722.04,241.65,66.5319,4,2,0,0,0.5,0.0,2,361.02,6653.19,0.005,0.0,Elite,Medium,Elite,High
asafge/NewsBlurPlus,1389.47,919.98,33.7888,6,8,0,0,1.333333,0.0,8,173.68,3378.88,0.013333330000000001,0.0,Elite,Low,Elite,High
CTC-CompTech/delivery,832.71,185.55,77.7177,2,5,0,0,2.5,0.0,5,166.54,7771.7699999999995,0.025,0.0,Elite,Low,Elite,Medium
steve1rm/busbymovies,5122.71,0.0,100.0,5,0,0,0,0.0,0.0,0,,10000.0,0.0,0.0,Elite,Elite,Elite,
NerdCats/SwatKat,9527.17,0.0,100.0,5,0,0,0,0.0,0.0,0,,10000.0,0.0,0.0,Elite,Elite,Elite,
sheimi/SGit,2352.38,2352.38,0.0,4,45,0,0,11.25,0.0,45,52.28,0.0,0.1125,0.0,Low,Low,Elite,Medium
Neraud/PADListener,15180.49,15180.49,0.0,42,39,0,0,0.928571,0.0,39,389.24,0.0,0.00928571,0.0,Low,Medium,Elite,High
ronaldsmartin/20twenty20,2919.28,0.0,100.0,6,0,0,0,0.0,0.0,0,,10000.0,0.0,0.0,Elite,Elite,Elite,
KlubJagiellonski/pola-android,39876.63,39876.63,0.0,14,10,1,1,0.714286,1.0,11,3625.15,0.0,0.00714286,1.0,Low,Medium,Low,Elite
75py/Aplin,57046.42,57046.42,0.0,27,11,111,26,0.407407,0.234234,37,1541.8,0.0,0.00407407,0.234234,Low,High,Low,Elite
athimel/mh-dla-notifier,5871.66,5871.66,0.0,3,5,0,0,1.666667,0.0,5,1174.33,0.0,0.016666669999999998,0.0,Low,Low,Elite,Elite
qdeconinck/lln-campus,222.88,88.34,60.3634,2,1,0,0,0.5,0.0,1,222.88,6036.34,0.005,0.0,Elite,Medium,Elite,High
CherokeeLanguage/cll1-gdx,188.52,0.0,100.0,5,0,0,0,0.0,0.0,0,,10000.0,0.0,0.0,Elite,Elite,Elite,
nkming2/power-menu,22216.48,13585.97,38.8473,17,12,0,0,0.705882,0.0,12,1851.37,3884.7299999999996,0.00705882,0.0,Elite,Medium,Elite,Elite
kort/kort-native,1845.81,1845.81,0.0,3,9,0,0,3.0,0.0,9,205.09,0.0,0.03,0.0,Low,Low,Elite,High
tobykurien/WebApps,48359.07,48359.07,0.0,42,17,0,0,0.404762,0.0,17,2844.65,0.0,0.00404762,0.0,Low,High,Elite,Elite
djschilling/sopa,4625.41,733.17,84.149,10,14,0,0,1.4,0.0,14,330.39,8414.9,0.013999999999999999,0.0,Elite,Low,Elite,High
tzulberti/archery-training,2913.86,2913.86,0.0,6,56,0,0,9.333333,0.0,56,52.03,0.0,0.09333332999999999,0.0,Low,Low,Elite,Medium
itkach/aard2-android,66851.91,0.0,100.0,51,0,0,0,0.0,0.0,0,,10000.0,0.0,0.0,Elite,Elite,Elite,
pedrovgs/DraggablePanel,13978.2,3591.93,74.3034,10,12,0,0,1.2,0.0,12,1164.85,7430.339999999999,0.012,0.0,Elite,Low,Elite,Elite
gina-alaska/gina-puffinfeeder-android-viewer,6942.42,143.04,97.9396,2,3,0,0,1.5,0.0,3,2314.14,9793.96,0.015,0.0,Elite,Low,Elite,Elite
Alfresco/activiti-android-app,36474.85,0.0,100.0,5,0,0,0,0.0,0.0,0,,10000.0,0.0,0.0,Elite,Elite,Elite,
jecelyin/920-text-editor-v2,10134.38,0.0,100.0,9,0,0,0,0.0,0.0,0,,10000.0,0.0,0.0,Elite,Elite,Elite,
hummatli/AppCrossPromoter,2250.84,0.0,100.0,7,0,0,0,0.0,0.0,0,,10000.0,0.0,0.0,Elite,Elite,Elite,
fridayideas/daytomato,471.61,471.61,0.0,6,15,0,0,2.5,0.0,15,31.44,0.0,0.025,0.0,Low,Low,Elite,Medium
alphadev-net/drive-mount,1136.78,619.99,45.4613,4,12,0,0,3.0,0.0,12,94.73,4546.13,0.03,0.0,Elite,Low,Elite,Medium
seizonsenryaku/HayaiLauncher,10338.64,43.92,99.5752,20,4,0,0,0.2,0.0,4,2584.66,9957.52,0.002,0.0,Elite,High,Elite,Elite
g-timetracker/g-timetracker,6660.68,0.0,100.0,3,0,0,0,0.0,0.0,0,,10000.0,0.0,0.0,Elite,Elite,Elite,
NCBSinfo/NCBSinfo,41396.84,1229.81,97.0292,10,1,0,0,0.1,0.0,1,41396.84,9702.92,0.001,0.0,Elite,High,Elite,Elite
novoda/android-demos,22827.35,0.0,100.0,2,0,0,0,0.0,0.0,0,,10000.0,0.0,0.0,Elite,Elite,Elite,
Frozen-Developers/android-cache-cleaner,13465.57,0.0,100.0,14,0,0,0,0.0,0.0,0,,10000.0,0.0,0.0,Elite,Elite,Elite,
Kestutis-Z/World-Weather,17853.06,0.0,100.0,13,0,0,0,0.0,0.0,0,,10000.0,0.0,0.0,Elite,Elite,Elite,
coder3101/Matrix-Calculator-for-Android,217.3,217.3,0.0,2,4,0,0,2.0,0.0,4,54.33,0.0,0.02,0.0,Low,Low,Elite,Medium
akvo/akvo-rsr-up,45361.52,45361.52,0.0,4,50,0,0,12.5,0.0,50,907.23,0.0,0.125,0.0,Low,Low,Elite,Elite
nispok/snackbar,8157.21,4675.85,42.6782,37,8,0,0,0.216216,0.0,8,1019.65,4267.82,0.0021621599999999998,0.0,Elite,High,Elite,Elite
enra64/Votenote,2808.62,2808.62,0.0,5,10,0,0,2.0,0.0,10,280.86,0.0,0.02,0.0,Low,Low,Elite,High
wKovacs64/mTorch,12341.21,12341.21,0.0,3,4,0,0,1.333333,0.0,4,3085.3,0.0,0.013333330000000001,0.0,Low,Low,Elite,Elite
tbpalsulich/NYU-BusTracker-Android,2009.33,2009.33,0.0,4,14,0,0,3.5,0.0,14,143.52,0.0,0.035,0.0,Low,Low,Elite,Medium
AKG-Vertretungsplan/AKG-Vertretungsplan-Android,37424.69,0.0,100.0,31,0,0,0,0.0,0.0,0,,10000.0,0.0,0.0,Elite,Elite,Elite,
davemorrissey/subsampling-scale-image-view,27870.73,5004.06,82.0455,21,7,0,0,0.333333,0.0,7,3981.53,8204.550000000001,0.00333333,0.0,Elite,High,Elite,Elite
pdaddyo/soundbounce,288.18,288.18,0.0,4,45,0,0,11.25,0.0,45,6.4,0.0,0.1125,0.0,Low,Low,Elite,Low
avram/zandy,45164.69,45164.69,0.0,8,18,0,0,2.25,0.0,18,2509.15,0.0,0.0225,0.0,Low,Low,Elite,Elite
plusCubed/velociraptor,40878.91,40878.91,0.0,32,11,0,0,0.34375,0.0,11,3716.26,0.0,0.0034375,0.0,Low,High,Elite,Elite
caarmen/FRCAndroidWidget,34673.93,13560.1,60.8925,48,7,0,0,0.145833,0.0,7,4953.42,6089.25,0.0014583299999999999,0.0,Elite,High,Elite,Elite
ianhanniballake/TripleSolitaire,43322.09,317.8,99.2664,10,9,0,0,0.9,0.0,9,4813.57,9926.640000000001,0.009000000000000001,0.0,Elite,Medium,Elite,Elite
midhunhk/trip-o-meter,4213.43,3977.32,5.6036,3,7,1,0,2.333333,0.0,7,601.92,560.36,0.02333333,0.0,Elite,Low,Elite,High
iTXTech/Daedalus,45457.3,19405.52,57.3104,21,7,0,0,0.333333,0.0,7,6493.9,5731.04,0.00333333,0.0,Elite,High,Elite,Elite
ManojMadanmohan/dlt,19540.58,0.0,100.0,6,0,0,0,0.0,0.0,0,,10000.0,0.0,0.0,Elite,Elite,Elite,
timeforcoffee/timeforcoffee-android,6050.25,6050.25,0.0,11,12,3,3,1.090909,1.0,15,403.35,0.0,0.01090909,1.0,Low,Low,Low,High
Bearded-Hen/Android-Bootstrap,10303.58,10303.58,0.0,5,28,0,0,5.6,0.0,28,367.98,0.0,0.055999999999999994,0.0,Low,Low,Elite,High
javiersantos/AppUpdater,21218.38,8107.05,61.7923,27,14,0,0,0.518519,0.0,14,1515.6,6179.23,0.005185189999999999,0.0,Elite,Medium,Elite,Elite
WangDaYeeeeee/GeometricWeather,46771.52,0.0,100.0,79,0,0,0,0.0,0.0,0,,10000.0,0.0,0.0,Elite,Elite,Elite,
martinohanlon/BlueDot,35147.89,3144.83,91.0526,5,5,0,0,1.0,0.0,5,7029.58,9105.26,0.01,0.0,Elite,Low,Elite,Elite
dereksweet/ComedyCompanion,5064.13,0.0,100.0,3,0,0,0,0.0,0.0,0,,10000.0,0.0,0.0,Elite,Elite,Elite,
yeokm1/nus-soc-print,11422.01,6599.54,42.2209,12,1,0,0,0.083333,0.0,1,11422.01,4222.09,0.0008333300000000001,0.0,Elite,Elite,Elite,Elite
oSoc14/Artoria,67.5,67.5,0.0,4,14,0,0,3.5,0.0,14,4.82,0.0,0.035,0.0,Low,Low,Elite,Low
rocketshipapps/adblockfast,36524.08,36524.08,0.0,20,26,6,1,1.3,0.166667,27,1352.74,0.0,0.013000000000000001,0.166667,Low,Low,Low,Elite
lpaulger/cribbage-the-game,1631.44,1631.44,0.0,5,51,0,0,10.2,0.0,51,31.99,0.0,0.102,0.0,Low,Low,Elite,Medium
dkunzler/masterpassword,70658.37,93.28,99.868,26,2,0,0,0.076923,0.0,2,35329.19,9986.8,0.0007692300000000001,0.0,Elite,Elite,Elite,Elite
kmzbrnoI/hJOPandroidDriver,45468.91,45468.91,0.0,8,17,0,0,2.125,0.0,17,2674.64,0.0,0.02125,0.0,Low,Low,Elite,Elite
xiprox/WaniKani-for-Android,20729.09,20729.09,0.0,11,5,0,0,0.454545,0.0,5,4145.82,0.0,0.0045454499999999995,0.0,Low,High,Elite,Elite
dbdkmezz/true-sight-dota,7703.37,0.0,100.0,8,0,0,0,0.0,0.0,0,,10000.0,0.0,0.0,Elite,Elite,Elite,
gkalab/scidonthego,5021.88,0.0,100.0,3,0,0,0,0.0,0.0,0,,10000.0,0.0,0.0,Elite,Elite,Elite,
Pushwoosh/pushwoosh-android-sdk,53878.82,0.45,99.9992,150,1,22,1,0.006667,0.045455,2,26939.41,9999.92,6.667e-05,0.045455,Elite,Elite,Low,Elite
dailymotion/dailymotion-player-sdk-android,457.26,0.0,100.0,2,0,0,0,0.0,0.0,0,,10000.0,0.0,0.0,Elite,Elite,Elite,
