repository,issue_id,title,state,created_at,closed_at,labels
AndrewReitz/encrypted-camera,2,"Unable to dismiss ""Error while decrypting"" alert",closed,2014-06-05T23:52:21Z,2014-11-09T21:04:13Z,bug
AndrewReitz/encrypted-camera,1,"Able to click ""View Unencrypted Photos"" when photos are encrypted",open,2014-06-05T23:51:04Z,,bug
loadrunner/Facebook-Contact-Sync,39,Fix profile link,closed,2014-07-20T13:07:26Z,2014-07-20T13:45:25Z,bug
loadrunner/Facebook-Contact-Sync,35,java.lang.IllegalArgumentException: Service not registered: ro.weednet.contactssync.b.c@41f150c0,closed,2014-05-06T09:26:48Z,2014-07-20T13:03:48Z,bug
loadrunner/Facebook-Contact-Sync,34,Unable to Add Account with Updated Facebook App,closed,2014-04-19T14:29:20Z,2014-05-06T13:20:28Z,bug
loadrunner/Facebook-Contact-Sync,11,App crashes when Facebook doesn't return an email.,closed,2013-03-24T15:08:00Z,2013-03-26T12:12:17Z,bug
Nimrodda/WizarDroid,63,WizardFragment.onStepChanged() does not notify about all changes,open,2015-05-08T14:14:11Z,,bug
Nimrodda/WizarDroid,59,Context Variable Update Issue,closed,2015-03-09T11:17:43Z,2015-03-23T14:31:32Z,bug
Nimrodda/WizarDroid,34,Swipe Back/Prev is very sensitive,closed,2014-01-08T22:39:07Z,2014-12-28T13:35:55Z,bug
Nimrodda/WizarDroid,32,Using @ContextVariable when overriding BasicWizardLayout,closed,2013-12-11T17:34:17Z,2013-12-25T11:56:23Z,bug
Nimrodda/WizarDroid,31,Crash occures when having more than one required step marked completed,closed,2013-12-06T14:21:09Z,2014-12-26T17:56:15Z,bug
Nimrodda/WizarDroid,8,Add support for Parcelable ContextVariable,closed,2013-08-03T15:02:31Z,2013-08-03T15:40:50Z,bug
Nimrodda/WizarDroid,5,Passing Serializable objects,closed,2013-07-04T15:57:14Z,2013-07-04T19:33:05Z,bug
Nimrodda/WizarDroid,2,Passing data between steps,closed,2013-04-26T19:46:55Z,2013-06-23T22:34:13Z,bug
Nimrodda/WizarDroid,1,Crash when rotating device,closed,2013-04-21T20:40:58Z,2013-06-16T19:49:20Z,bug
BramBonne/privacypolice,11,"App FC when Wi-Fi is off and displaying ""Known hotspots""",closed,2015-05-21T11:23:08Z,2015-10-12T14:11:03Z,"bug, help wanted"
BramBonne/privacypolice,9,Layout of the main screen a bit weird,closed,2015-03-16T13:01:51Z,2016-03-29T11:57:53Z,bug
BramBonne/privacypolice,8,[NFR] Multi-user support,closed,2015-03-15T09:46:20Z,2015-03-17T16:09:42Z,"bug, help wanted"
dhbw-timetable/dhbw-timetable-android,95,Weird loading on today view,open,2018-01-09T08:22:48Z,,bug
dhbw-timetable/dhbw-timetable-android,93,Fix change comparison,closed,2018-01-04T22:20:45Z,2018-01-05T01:43:11Z,bug
dhbw-timetable/dhbw-timetable-android,91,Fix Android 8 Security Preferences ,closed,2018-01-04T12:42:50Z,2018-01-05T16:16:31Z,bug
dhbw-timetable/dhbw-timetable-android,87,Don't fire alarm when the event has already started since x minutes,closed,2017-10-18T07:10:01Z,2018-01-05T16:16:31Z,bug
dhbw-timetable/dhbw-timetable-android,83,Reboots are a problem for alarm,closed,2017-10-04T18:22:07Z,2017-10-13T10:00:43Z,bug
dhbw-timetable/dhbw-timetable-android,82,No appointens found on client is displayed to often,closed,2017-10-04T07:45:21Z,2017-10-04T08:11:24Z,bug
dhbw-timetable/dhbw-timetable-android,81,Cards are cut off ,closed,2017-10-04T07:15:33Z,2017-10-04T07:41:00Z,bug
dhbw-timetable/dhbw-timetable-android,78,Line wrapping is not done correctly,closed,2017-09-14T19:12:10Z,2018-01-02T18:30:27Z,"bug, design"
dhbw-timetable/dhbw-timetable-android,75,App crashes on alarm when another (native) alarm is scheduled,closed,2017-07-20T10:41:00Z,2017-10-04T10:02:05Z,bug
dhbw-timetable/dhbw-timetable-android,74,DO NOT DISTURB Mode is not restarted after alarm code.,closed,2017-07-20T09:49:34Z,2017-10-04T09:33:05Z,bug
dhbw-timetable/dhbw-timetable-android,73,Alarm crashed on huawaii,closed,2017-07-20T09:48:59Z,2018-01-02T17:53:55Z,bug
dhbw-timetable/dhbw-timetable-android,65,Week view behaves weird on offline mode,closed,2017-07-11T16:48:41Z,2017-07-11T17:48:24Z,bug
