repository,issue_id,title,state,created_at,closed_at,labels
polson/MetroTripper,1,Handle rotation properly,closed,2015-01-15T23:14:40Z,2015-02-09T16:29:03Z,bug
entertailion/Open-Launcher-for-GTV,13,App updates remove apps from rows,open,2013-01-16T11:19:54Z,,bug
entertailion/Open-Launcher-for-GTV,12,Complete mouse/touchpad support,open,2013-01-15T02:54:38Z,,bug
Su-Yong/KakaoBot,3,동적으로 난 오류를 잡지 못하는 버그,open,2017-02-26T13:33:03Z,,bug
mofosyne/tagdrop,3,Settings button doesn't work,closed,2015-08-29T11:56:14Z,2015-08-29T14:37:47Z,bug
