repository,total_releases,failed_releases,change_failure_rate_percent
osfans/trime,15,4,26.67
googlesamples/android-testdpc,23,0,0.0
blurpy/kouchat-android,4,0,0.0
theblackwidower/KanaQuiz,18,0,0.0
equeim/tremotesf-android,29,1,3.45
segler-alex/RadioDroid,35,6,17.14
SimpleMobileTools/Simple-Camera,82,17,20.73
akvo/akvo-caddisfly,31,0,0.0
arthurbenemann/surveygcp,2,0,0.0
criticalmaps/criticalmaps-android,14,0,0.0
damien5314/HoldTheNarwhal,14,0,0.0
WycliffeAssociates/translationRecorder,30,15,50.0
lz1asl/CaveSurvey,23,1,4.35
eurofurence/ef-app_android,22,16,72.73
martykan/forecastie,68,26,38.24
AllanWang/Frost-for-Facebook,44,36,81.82
zulip/zulip-android,4,0,0.0
iiordanov/remote-desktop-clients,50,1,2.0
chteuchteu/Munin-for-Android,34,3,8.82
jeisfeld/Augendiagnose,88,0,0.0
wuan/bo-android,45,14,31.11
ThatCSharpGuy/app,12,0,0.0
calvinaquino/LNReader-Android,32,9,28.12
tinfoilhat/tinfoil-sms,5,3,60.0
goodtime-productivity/Goodtime,36,3,8.33
Cedgetec/SchulinfoApp-android,46,0,0.0
ikarus23/MifareClassicTool,2,1,50.0
nawrasg/Atlantis,2,0,0.0
kaltura/playkit-android,91,0,0.0
Longi94/bptf,23,0,0.0
open-eid/MOPP-Android,24,0,0.0
proninyaroslav/libretorrent,6,0,0.0
hcmlab/ssj,23,0,0.0
ApplETS/ETSMobile-Android2,6,0,0.0
nbusy/nbusy-android,20,0,0.0
dafi/photoshelf,2,0,0.0
Commit451/LabCoat,2,0,0.0
CalebQ42/SWAssistant,23,0,0.0
dhis2/dhis2-android-eventcapture,24,4,16.67
renard314/textfairy,2,0,0.0
Intermodalics/tango_ros,8,3,37.5
caarmen/poet-assistant,93,12,12.9
ushahidi/Ushahidi_Android,1,0,0.0
rm3l/maoni,14,0,0.0
DreierF/MyTargets,52,18,34.62
reloZid/android-anuto,28,9,32.14
TobiasBielefeld/Simple-Solitaire,48,0,0.0
