repository,total_releases,failed_releases,change_failure_rate_percent
scoot-software/sms-android,10,0,0.0
AirVantage/av-phone-android,8,0,0.0
rmceoin/cominghome,7,1,14.29
akhbulatov/wordkeeper,12,0,0.0
JGerdes/Schauburgr,1,0,0.0
phw/PicardBarcodeScanner,14,0,0.0
jrzimmerman/bestrida-rn,3,1,33.33
tonikarppi/coherence,1,0,0.0
ElectricDynamite/pasty-app-android,3,1,33.33
greblus/aspeqt,7,0,0.0
CodeforChemnitz/TheaterWecker,1,0,0.0
ndhunju/dailyJournal,1,0,0.0
luankevinferreira/expenses,3,0,0.0
ennswi/AndroidCaldavSyncAdapater,8,1,12.5
rubenwardy/mtmods4android,16,0,0.0
langara/MyIntent,3,0,0.0
manso92/DADM,2,0,0.0
netmackan/ATimeTracker,11,5,45.45
mtransitapps/ca-london-transit-bus-android,1,0,0.0
dlew/android-ragefaces,1,0,0.0
DenizUgur/ninegagsaver,9,0,0.0
recruit-lifestyle/FloatingView,29,1,3.45
mgolokhov/dodroid,26,6,23.08
turing-tech/MaterialScrollBar,72,13,18.06
8enet/AppOpsX,14,0,0.0
federicoiosue/checklistview,1,0,0.0
syniuhin/Readily,2,0,0.0
c3nav/c3nav-android,6,1,16.67
PaulKlinger/Sprog-App,17,0,0.0
Briseus/Lurker,1,0,0.0
mtransitapps/ca-l-assomption-mrclasso-bus-android,1,0,0.0
mick88/filemanager,1,0,0.0
phil-lopreiato/frc-notebook,19,6,31.58
oli107/material-range-bar,6,0,0.0
trishika/DroidUPnP,7,0,0.0
Kwamecorp/Fairphone,5,0,0.0
mikifus/padland,24,0,0.0
feragusper/BuenosAiresAntesYDespues,3,0,0.0
mtransitapps/ca-la-presqu-ile-citpi-bus-android,1,0,0.0
tarmoj/vclick,10,0,0.0
WebBluetoothCG/ble-test-peripheral-android,3,0,0.0
yuukis/businessmap,4,2,50.0
tlewiscpp/QMineSweeper,1,0,0.0
smitnich/Subscreen,2,0,0.0
patrickfav/under-the-hood,13,0,0.0
antur84/GoSthlm,1,0,0.0
Werb/PickPhotoSample,16,2,12.5
hpedrorodrigues/ImageSearch,1,0,0.0
mtransitapps/ca-kamloops-transit-system-bus-android,2,0,0.0
graham22/SkyeTracker,1,0,0.0
npes87184/S2TDroid,12,0,0.0
bluejamesbond/TextJustify-Android,5,2,40.0
mtbii/RobotCA,1,0,0.0
midhunhk/random-contact,11,1,9.09
cortrium/AndroidApp,17,0,0.0
churichard/ru-direct,8,0,0.0
yDelouis/selfoss-android,26,11,42.31
mtransitapps/ca-st-john-s-metrobus-transit-bus-android,1,0,0.0
29jm/Kloggr-Qt,2,0,0.0
liskin/locus-rflkt-addon,13,0,0.0
mtransitapps/ca-ste-julie-omitsju-bus-android,1,0,0.0
damien5314/RhythmGameScoreCalculator,1,0,0.0
calintat/units,12,3,25.0
BloopApp/Bloop,3,1,33.33
lambdasoup/watchlater,4,0,0.0
mtransitapps/ca-hamilton-hsr-bus-android,1,0,0.0
Mark-Lauman/DominionPicker,11,1,9.09
NeuroTechX/eeg-101,5,0,0.0
Daskiworks/ghwatch,13,4,30.77
j4velin/MapsMeasure,1,0,0.0
Andre1299/TUI-ConsoleLauncher,19,0,0.0
CORDEA/MackerelClient,3,0,0.0
wsv-accidis/tmeit-android,8,3,37.5
chteuchteu/Freebox-Stats,4,0,0.0
nethergrim/bashorg,7,0,0.0
andryr/Harmony-Music-Player,3,0,0.0
VEINHORN/ScrollGalleryView,2,0,0.0
ccjeng/TPTrash,20,0,0.0
alexs20/SimpleSecretStorage,22,0,0.0
krtkush/LinearTimer,6,0,0.0
luke-c/Ikue,4,0,0.0
dozingcat/Vector-Pinball,14,0,0.0
nikolamilosevic86/owasp-seraphimdroid,3,1,33.33
notriddle/budget-envelopes,15,0,0.0
mtransitapps/ca-burlington-transit-bus-android,2,0,0.0
dimtion/Shaarlier,29,2,6.9
nextgis/nextgislogger,2,0,0.0
Lightstreamer/Lightstreamer-example-MPNStockList-client-android,6,0,0.0
PeterWithers/E36Timer,4,0,0.0
jrvansuita/MaterialAbout,29,0,0.0
SimonMarquis/Android-PreferencesManager,5,0,0.0
Djonique/Birdays,9,0,0.0
sschuberth/parandroid,1,0,0.0
appteam-nith/festnimbus,2,0,0.0
mtransitapps/ca-halifax-transit-bus-android,1,0,0.0
smuldr/xtime-android,8,3,37.5
ac-pm/Inspeckage,3,0,0.0
matejdro/PebbleDialer-Android,3,0,0.0
ryosua/SpeechWriter,14,0,0.0
mtransitapps/ca-regina-transit-bus-android,1,0,0.0
mtransitapps/ca-oakville-transit-bus-android,1,0,0.0
rtugores/alubia,3,0,0.0
PuffOpenSource/Puff-Android,3,1,33.33
michaelbarlow7/dungeon-crawl-android,12,0,0.0
fjoglar/ETSIT-News,3,0,0.0
DanielMartinus/Stepper-Touch,6,0,0.0
vijai1996/screenrecorder,6,1,16.67
pilot51/voicenotify,7,2,28.57
HancelParallelZero/hancel_android,2,0,0.0
worker8/TourGuide,2,0,0.0
scottyab/rootbeer,3,1,33.33
khasang/FixMyNumber,7,0,0.0
100Hackers/Plaper,2,0,0.0
mikljohansson/retroboy,1,0,0.0
Z3r0byte/Magistify,39,19,48.72
peterfajdiga/SSZJ-Android,3,0,0.0
mtransitapps/ca-st-albert-transit-bus-android,1,0,0.0
mtransitapps/ca-moncton-codiac-transpo-bus-android,1,0,0.0
DeathsbreedGames/SpaceRun,10,0,0.0
cmusatyalab/faceswap,1,0,0.0
Beaconstac/Android-SDK,35,0,0.0
sdsmdg/trianglify,2,0,0.0
brarcher/rental-calc,5,0,0.0
R-a-dio/R-a-dio-Amazing-Android-App,7,0,0.0
mtransitapps/ca-milton-transit-bus-android,2,0,0.0
takke/DataStats,2,0,0.0
lewismcgeary/AndroidGameofLife,6,1,16.67
bleissem/babyphone,19,0,0.0
Nuvolect/SecureSuite-Android,3,0,0.0
tvbarthel/CameraColorPicker,5,0,0.0
dotWee/Mensaplan,1,0,0.0
rascarlo/AURdroid,20,2,10.0
ultramega/flavordex,5,0,0.0
kd345312/RoboApp,2,0,0.0
mattermost/mattermost-android-classic,14,0,0.0
Scaronthesky/UK-Gebaerden_Muensterland,11,5,45.45
selcukcihan/sensors,3,0,0.0
mtransitapps/ca-sudbury-transit-bus-android,2,0,0.0
mtransitapps/ca-durham-region-transit-bus-android,2,0,0.0
mtransitapps/ca-haut-st-laurent-cithsl-bus-android,2,0,0.0
afollestad/photo-affix,18,0,0.0
SafeSlingerProject/SafeSlinger-Android,7,5,71.43
thehyve/transmart-android,1,0,0.0
atomicptr/TrierBusTimeTracker,6,0,0.0
petalyaa/Launchpet2,7,5,71.43
mtransitapps/ca-comox-valley-transit-system-bus-android,1,0,0.0
mtransitapps/ca-halifax-transit-ferry-android,2,0,0.0
caarmen/PalidaMuerte,9,2,22.22
plattysoft/Leonids,6,0,0.0
negusoft/holoaccent,6,0,0.0
DHM47/Native-Clip-Board,1,0,0.0
getsocial-im/getsocial-android-sdk,141,0,0.0
ccjeng/News,35,0,0.0
MoinApp/moinapp-android,18,0,0.0
takke/cpustats,5,0,0.0
Kaljurand/Arvutaja,7,0,0.0
nbd9/UnityPlanner,7,0,0.0
jd-alexander/Google-Directions-Android,9,0,0.0
0x1bad1d3a/Kaku,3,1,33.33
Nutomic/controldlna,10,0,0.0
laurentsebag/android-wifi-timer,4,2,50.0
dbrant/unitconverter-android,4,0,0.0
chris-carneiro/Wi-Fi-Toggler,2,0,0.0
castorflex/SmoothProgressBar,9,0,0.0
Adonai/Man-Man,4,0,0.0
LTBuses/LTB-android,1,0,0.0
jmuthu/Poovali,3,0,0.0
andyiac/githot,1,0,0.0
martinmarinov/AndroidDvbDriver,7,0,0.0
eMerzh/OpenFixMap,1,0,0.0
meetshah1995/TechFest2k15,1,0,0.0
beta/cloudier,24,2,8.33
colesadam/hill-lists,2,0,0.0
tvbarthel/SimpleWeatherForecast,2,0,0.0
Trellmor/BerryTube,8,0,0.0
mtransitapps/ca-sherbrooke-sts-bus-android,1,0,0.0
MicMun/MiWoTreff,17,0,0.0
CytoDev/FrequencyCalculator,3,1,33.33
mlewe/arxiv-mobile,5,0,0.0
javiersantos/MaterialStyledDialogs,24,4,16.67
GrinnellAppDev/KDIC-Radio-Android,4,0,0.0
melkonyan/Timetable,12,4,33.33
msal/Shoutemo,5,0,0.0
tvbarthel/BlurDialogFragment,3,1,33.33
rastating/DroidBeard,24,18,75.0
ganddev/breminale_android_mvvm,5,0,0.0
csuyzb/AndroidLinkup,5,0,0.0
GrinnellAppDev/Grinnell-DB-Android-Old,4,1,25.0
mtransitapps/ca-prince-george-transit-system-bus-android,2,0,0.0
mtransitapps/ca-guelph-transit-bus-android,1,0,0.0
shreyassood/2048,14,0,0.0
seht/volumenotification,27,9,33.33
baculsoft/curhatharga,7,0,0.0
unparalleled/kcards,5,0,0.0
chteuchteu/Blurify,7,0,0.0
jakemoritz/Tasking,1,0,0.0
Leaking/WeGit,1,0,0.0
yazeed44/MultiImagePicker,8,2,25.0
jorenham/fingerblox,3,0,0.0
andreiciubotariu/contact-notifier,9,0,0.0
fython/Blackbulb,16,1,6.25
rootkiwi/an2linuxclient,19,0,0.0
SecUSo/privacy-friendly-qr-scanner,15,5,33.33
crysxd/Studiportal-Checker,16,0,0.0
andreacioni/KeeLink,11,0,0.0
mtransitapps/ca-west-coast-express-bus-android,1,0,0.0
jbmlaird/DiscogsBrowser,1,0,0.0
MoveLab/erulet-android,12,0,0.0
ssaqua/ProximityService,11,0,0.0
NevRA/Giraffe,1,0,0.0
asalamon74/ztemezszam,4,0,0.0
artiomchi/Dual-Battery-Widget,1,0,0.0
mtransitapps/ca-squamish-transit-system-bus-android,1,0,0.0
rails-school/tiramisu,4,0,0.0
LordVulkan/Graphs,1,0,0.0
maoruibin/AppPlus,1,0,0.0
dbrant/mandelbrot-android,1,0,0.0
mtransitapps/ca-gta-up-express-train-android,1,0,0.0
mtransitapps/ca-strathcona-county-transit-bus-android,1,0,0.0
bobrofon/easysshfs,7,0,0.0
loadrunner/Facebook-Contact-Sync,2,0,0.0
Nimrodda/WizarDroid,7,0,0.0
hidroh/tldroid,3,0,0.0
0xnm/BTC-e-client-for-Android,9,0,0.0
pe-pan/flappy,4,0,0.0
dhbw-timetable/dhbw-timetable-android,3,3,100.0
stealthcopter/AndroidNetworkTools,17,1,5.88
luckytoilet/WATisRain,3,1,33.33
passwordmaker/android-passwordmaker,13,0,0.0
el1t/Iolite,3,1,33.33
acadet/wanderer-android,2,0,0.0
dragthor/learning,5,0,0.0
pretix/pretixdroid,5,0,0.0
Sensirion/SmartGadget-Android,5,0,0.0
jmsalcido/catapi-android,1,0,0.0
valaczka/callofsuli,4,0,0.0
HamishONE/trackbus,2,0,0.0
meefik/linuxdeploy,16,0,0.0
suragch/Chimee,8,0,0.0
FRC-Utilities/QDriverStation-Mobile,6,0,0.0
RobTain/Busfahrplan-Passau,13,0,0.0
wsv-accidis/fm-fg-godsdekl,12,0,0.0
kshoji/BLE-MIDI-for-Android,10,2,20.0
project-manatee/manatee-android,1,0,0.0
anselm94/Torchie-Android,4,1,25.0
justindriggers/Ventriloid,1,0,0.0
penk/terrarium-app,2,0,0.0
michelelacorte/AndroidAppShortcuts,8,0,0.0
eladnava/redalert-android,3,0,0.0
kaliturin/BlackList,1,0,0.0
Nxt3/IO_Classic_WatchFace,20,3,15.0
athimel/zoumtarot,1,0,0.0
SecUSo/privacy-friendly-dicer,7,0,0.0
MoveLab/tigatrapp-android,8,0,0.0
mtransitapps/ca-cornwall-transit-bus-android,1,0,0.0
SimplicityApks/ReminderDatePicker,4,0,0.0
Rouji/Hupl,11,0,0.0
firejake308/Show-And-Sell,4,0,0.0
yaroslav-shlapak/Circle-Progress-View,15,0,0.0
Tarostar/QMLGalaxyPortal,9,1,11.11
GiorgioRegni/Binaural-Beats,1,0,0.0
ThibaudM/timelapse-sony,4,0,0.0
Fortyseven/ToneDef,6,0,0.0
MMAUG/FloodInfo,4,0,0.0
shubhamchaudhary/CCDroid,2,0,0.0
milosmns/Timecrypt,2,0,0.0
heinrichreimer/android-issue-reporter,7,0,0.0
ligi/AJShA,1,0,0.0
hzsweers/palettehelper,3,0,0.0
Androguide/Pimp_my_Z1,14,0,0.0
status-im/syng-client,1,0,0.0
omgitsjoao/wakatime-android-client,3,0,0.0
razorpay/razorpay-android-sample-app,29,0,0.0
fobid/webviewer-android,2,0,0.0
BenAlderfer/RIT-Dining-Planner-Android,3,1,33.33
mtransitapps/ca-montreal-bixi-bike-android,1,0,0.0
maxanier/Vertretungsplan,4,1,25.0
Onelio/ConnectU,2,0,0.0
mtransitapps/ca-chilliwack-transit-system-bus-android,1,0,0.0
andresoviedo/android-3D-model-viewer,10,1,10.0
justdave/MCStatus,8,2,25.0
cloud-emoticon/SmallCloudEmoji,12,0,0.0
mtransitapps/ca-st-catharines-transit-bus-android,1,0,0.0
mtransitapps/ca-banff-roam-transit-bus-android,1,0,0.0
joeyvanderbie/Bluetooth-LE-Library---Android,3,0,0.0
Nilhcem/hosts-editor-android,4,0,0.0
askii93/FileFly,1,0,0.0
Mygod/MygodSpeechSynthesizer-android,11,0,0.0
OneLight-Studio/onebike-android,2,0,0.0
swooby/alfred,2,0,0.0
sw926/ImageFileSelector,1,0,0.0
ColtanLabs/TapNote,2,0,0.0
apotter96/PowerOfGod,22,0,0.0
mtransitapps/ca-quebec-orleans-express-bus-android,1,0,0.0
afollestad/drag-select-recyclerview,19,0,0.0
mtransitapps/ca-central-fraser-valley-transit-system-bus-android,1,0,0.0
Qualeams/Android-Face-Recognition-with-Deep-Learning-Test-Framework,6,0,0.0
abhijitvalluri/fitnotifications,4,0,0.0
patrickfav/Dali,12,1,8.33
nick11roberts/Moka-Scanr,3,0,0.0
hanneseilers/Mensa-SH,7,0,0.0
jamesmontemagno/MeetupManager,1,0,0.0
dan-zx/twitt4droid,2,0,0.0
jreyes/mirror,2,0,0.0
ello/ello-android,2,0,0.0
jamesmorrisstudios/Randomly-RemindMe,4,0,0.0
JohnNPhillips/HistoryCleanerPro,15,0,0.0
hubbardgary/LondonTrails,6,0,0.0
bmarrdev/android-DecoView-charting,10,0,0.0
chenjishi/usite,1,0,0.0
meefik/busybox,12,0,0.0
sytolk/TaxiAndroidOpen,2,0,0.0
Mnkai/PGPClipper,13,2,15.38
brarcher/gift-card-guard,6,0,0.0
weihanglo/pycontw-mobile,1,0,0.0
bluedaniel/Kakapo-native,3,0,0.0
dhmncivichacks/isitrecyclingweek-android,2,0,0.0
hgzojer/picturetrainer,6,0,0.0
crysxd/mensa-furtwangen,8,0,0.0
AfzalivE/AwakeDebug,2,0,0.0
chikecodes/Debt-Manager,1,0,0.0
tvbarthel/SimpleThermometerProject,5,2,40.0
MJonesDev/Aperture-Gallery,1,0,0.0
StephanBezoen/tumblrlikes,2,0,0.0
areina/elfeed-cljsrn,5,0,0.0
JakeLane/Toffeed,14,8,57.14
xmxiaocong/gim,1,0,0.0
trvlrch/trvlr-android,4,0,0.0
PaitoAnderson/SkrumazAndroid,6,0,0.0
sukso96100/zionhs,9,0,0.0
adamsp/DestinyRaidTimers,3,2,66.67
garywzh/QuumiiBox,4,0,0.0
trikita/obsqr,3,0,0.0
mvhs-apps/mvhs-app,1,0,0.0
edubarr/header-decor,3,0,0.0
msal/muzei-nationalgeographic,10,1,10.0
Digitopia/PORTOphone-app,5,0,0.0
hpedrorodrigues/GZMD,5,0,0.0
bparmentier/WiFiKeyShare,4,2,50.0
fobid/linkable-text-android,1,0,0.0
Skylark95/Amazon-App-Notifier,1,0,0.0
AyuntamientoDeXalapa/AppLimpiaXalapa,3,0,0.0
ratty3697/android-smart-animation-library,5,0,0.0
czak/retronix,1,0,0.0
mtransitapps/ca-lanaudiere-crtl-bus-android,1,0,0.0
0lvin/LightSensor,1,0,0.0
Lauszus/FaceRecognitionApp,5,0,0.0
championswimmer/Lifelog-Android-Library,2,0,0.0
SecUSo/privacy-friendly-dice-game,5,0,0.0
AlleIT/Alleinfo_Android,1,1,100.0
mtransitapps/ca-red-deer-transit-bus-android,1,0,0.0
V2Ray-Android/Actinium,18,11,61.11
DeveloperPaul123/FilePickerLibrary,6,3,50.0
marcoscgdev/HeaderDialog,6,0,0.0
SpiritCroc/Modular-Remote,6,0,0.0
yyunikov/android-dim-block,1,0,0.0
TASnomad/Fallon-react-native-app,6,0,0.0
flavioarfaria/KenBurnsView,4,2,50.0
prakhar1989/ColorPhun,1,0,0.0
agwells/dotdash-keyboard-android,3,0,0.0
cgogolin/library,5,0,0.0
samueltardieu/harassme,1,0,0.0
kaichunlin/android-transition,7,1,14.29
matt-allen/repay-android,3,0,0.0
jtmcn/archwiki-viewer,6,0,0.0
Leakedbits/Codelabs,5,0,0.0
IYCI/MyClass,2,0,0.0
APSL/react-native-meneame,2,0,0.0
Mygod/Harmonizer,8,0,0.0
StefanOltmann/Kaesekaestchen,9,0,0.0
kenumir/Pinger,27,0,0.0
jt19056/Notey,2,1,50.0
honza-kasik/OlomouckyBazen,10,4,40.0
opticod/Opti-Movies,3,0,0.0
abhijith0505/CarbonContacts,1,0,0.0
tangalbert919/nds4droid,2,1,50.0
diegoponciano/biblia-ccb,3,2,66.67
DarkMentat/GuitarScalesBoxes,2,0,0.0
cornedor/mayhem,2,0,0.0
pmarks-net/chromadoze,7,0,0.0
akechi/project-l,1,0,0.0
KentShikama/SoundLocker,5,0,0.0
media3-0/AplikacjaParlament,7,0,0.0
FabriceMk/android-mycv,3,1,33.33
baz8080/folkets_android,3,0,0.0
auselen/graph-bender,1,0,0.0
flopshot/Capstone_Project,4,3,75.0
LudySu/LrcJaeger,6,0,0.0
almapp/uc-maps-mobile,1,0,0.0
anwilli5/coin-collection-android-US,2,0,0.0
nning/imgshr-android,2,0,0.0
whily/calendarlookup,1,0,0.0
oyegorov/memorazor,4,0,0.0
toastkidjp/SearchWidget_Android,11,0,0.0
MariusVolkhart/LocalStorage,5,0,0.0
gerald1248/hollows,7,0,0.0
kyriog/VoxPopuli-Android,4,2,50.0
SimenCodes/heads-up,4,0,0.0
MPieter/Notification-Analyser,4,0,0.0
gsantner/kimai-android,7,0,0.0
SebastianOltmanns/birthdays,13,0,0.0
curlymorphic/involve,2,0,0.0
heinrichreimer/material-drawer,5,0,0.0
scoutant/blokish,1,0,0.0
wseemann/RoMote,25,0,0.0
mattstraehl/AmgiNori,9,0,0.0
SvenDub/Dashboard,4,0,0.0
andremion/Villains-and-Heroes,5,0,0.0
longdivision/hex,9,1,11.11
Lightstreamer/Lightstreamer-example-AdvStockList-client-android,2,0,0.0
edsonduarte1990/reminders,11,0,0.0
gazlaws-dev/codeboard,1,0,0.0
dzwiedziu-nkg/biblospk,3,0,0.0
anhinton/CocoWiggler4,1,0,0.0
ronaldsmartin/Material-ViewPagerIndicator,6,2,33.33
RyuzakiKK/NoteCrypt,4,0,0.0
BeamNG/remotecontrol,3,2,66.67
mtransitapps/ca-niagara-region-transit-bus-android,2,0,0.0
mtransitapps/ca-shawinigan-rtcs-bus-android,1,0,0.0
butzist/ActivityLauncher,11,0,0.0
shensky711/Run-With-You,1,0,0.0
tcolligan/MaximMaker,4,0,0.0
NFCdroid/nfcapp,1,0,0.0
shivnshu/AMR-System,3,0,0.0
flyingrub/SpeedMeter,4,0,0.0
wmi-students/wmi-timetable-android,3,2,66.67
erickok/borefts2015,9,0,0.0
ccjeng/BuddhaVoice,14,0,0.0
42SK/TVKILL,10,0,0.0
ajitsing/ExpenseManager,1,0,0.0
mtransitapps/ca-welland-transit-bus-android,1,0,0.0
mutualmobile/CardStackUI,2,0,0.0
elefher/CpuHandler,5,0,0.0
fin10/MyWallpaper,7,0,0.0
rpi-mobile/RPIMobile-Android,7,0,0.0
GAlexMES/MusicArchivist,1,0,0.0
dmytroKarataiev/EarthquakeSurvival,1,0,0.0
Bennik2000/FtApp,7,0,0.0
greenfrvr/hashtag-view,7,0,0.0
fadelakin/vortex,7,0,0.0
hgzojer/vocabletrainer,14,0,0.0
indywidualny/Centrum.fm,17,4,23.53
jsauve/HGMF2017,5,0,0.0
txusballesteros/sliding-deck,1,0,0.0
ruby-china/ruby-china-android,1,0,0.0
shubhamchaudhary/wordpowermadeeasy,3,1,33.33
pryds/ve,4,1,25.0
manyconf/mobile-android,1,0,0.0
mtransitapps/ca-joliette-ctjm-bus-android,2,0,0.0
kaif-open/kaif-android,1,0,0.0
matejdro/WearVibrationCenter,15,0,0.0
outadoc/SplatCompanion,12,4,33.33
artemnikitin/tts-test-app,5,0,0.0
Benrnz/CorporateBsGenerator,1,0,0.0
mtransitapps/ca-fraser-valley-express-bus-android,2,0,0.0
chrisjluc/Onesearch,5,0,0.0
plusCubed/anticipate,7,1,14.29
dbrant/cardboard-mpo,2,0,0.0
ccjeng/TPTrashCan,12,0,0.0
aliaksei135/FlightDutyTracker,2,0,0.0
xaethos/tracker-notifier,1,0,0.0
adriankeenan/uob-timetable-android,11,0,0.0
claycarpenter/pazz-app,1,0,0.0
Devlight/NavigationTabBar,13,3,23.08
TrekDev/Xamarin.Android.Skobbler,3,0,0.0
MikeCroall/TrumpBot,1,0,0.0
Mauro2888/MemoMaterial,1,0,0.0
XFY9326/KeyBlocker,37,0,0.0
benjamarle/typhon,1,0,0.0
martinmarinov/rtl_tcp_andro-,2,0,0.0
kloener/visor-android,2,0,0.0
beckhamds/nasa-imagery-fetcher,1,0,0.0
iammck/ECalculon,2,0,0.0
ZedTheLed/Emoji_Browser,2,0,0.0
SumiMakito/AwesomeQRCode,8,0,0.0
ItsSelina/tribbble,2,0,0.0
xtensa/PodEmu,6,2,33.33
MJonesDev/Simple-Reminder-Android,2,0,0.0
torch2424/Stats-Monitor-Widget,1,0,0.0
vikasdesale/News24x7-news-from-every-part-of-the-world,1,0,0.0
sreich/android-count-the-days,2,0,0.0
CyberZHG/CrimsonTomato,6,0,0.0
eyqs/kanon-android,1,0,0.0
MkhytarMkhoian/Shoppist,2,0,0.0
trikita/talalarmo,4,0,0.0
andriydruk/BonjourBrowser,4,0,0.0
GoneUp/Htwg_LsfPlan,4,0,0.0
weinshel/android-calculator,2,0,0.0
randombyte-developer/SGLVertretungsplan,4,1,25.0
yaa110/Memento,3,0,0.0
chdir/aria2-android,4,0,0.0
tobykurien/BatteryFu,7,0,0.0
DVT/showcase-android,1,0,0.0
SpiritCroc/SyncSettings,9,0,0.0
leinardi/UbuntuCountdownWidget,5,0,0.0
robertmathew/KeralaAttractions,3,0,0.0
sean22922/CardSimulator,9,0,0.0
indianpoptart/Parks-and-Recreation,15,0,0.0
Vilbrekin/tinc_gui,3,0,0.0
mustafa01ali/Dev-Tiles,3,0,0.0
donaldmunro/AARemu,1,0,0.0
wbrenna/GTFSOffline,2,0,0.0
MicMun/DeuFeiTage,12,0,0.0
mtransitapps/ca-lethbridge-transit-bus-android,2,0,0.0
NijzinkM/ListLock,5,1,20.0
badoualy/stepper-indicator,7,0,0.0
vanilla-music/vanilla-music-tag-editor,18,0,0.0
claha/movianremote,8,0,0.0
jagossel/MovingPolygons,8,0,0.0
bertilxi/DC-Android,2,0,0.0
akshay2211/Oblique,1,0,0.0
pkunk/pq,1,0,0.0
deepaktwr/BitFrames,5,0,0.0
illusionww/gpsHub,2,0,0.0
mtransitapps/us-anchorage-people-mover-bus-android,1,0,0.0
akrause2014/gcrf-REAR,16,0,0.0
AEFeinstein/MiniScoreboard,1,0,0.0
mtransitapps/ca-fredericton-transit-bus-android,2,0,0.0
TheNightmanCodeth/classi,3,0,0.0
andremion/Louvre,6,1,16.67
avast/sms-ticket,6,0,0.0
christarazi/random-restaurant-generator,4,0,0.0
0xbb/otp-authenticator,4,0,0.0
TheAndroidMaster/Metronome-Android,8,1,12.5
patrickfav/planb-android,1,0,0.0
czodroid/droid48sx,2,0,0.0
wsv-accidis/in-sangbok,4,1,25.0
VelbazhdSoftwareLLC/DiceOverflow,1,0,0.0
BILLyTheLiTTle/Play4Share,4,0,0.0
geniusforapp/fancyDialog,3,0,0.0
SimonMarquis/Android-SecretCodes,6,0,0.0
PedroCarrillo/Expense-Tracker-App,2,0,0.0
taiko000/TAsteroids,4,0,0.0
chteuchteu/Blogmotion-Android,4,0,0.0
mtransitapps/ca-brandon-transit-bus-android,1,0,0.0
AlbertoCejas/GermanLearningUCA,1,0,0.0
StepicOrg/stepik-android,196,0,0.0
icasdri/Mather,7,5,71.43
adithya321/Companion-for-Band,9,0,0.0
Akusari/SD-Booster,2,0,0.0
SimonMarquis/FCM-toolbox,14,0,0.0
m039/beacon-keeper,3,0,0.0
rebus007/HeaderView,12,0,0.0
robert7k/sipswitch,2,0,0.0
JonathanImperato/Service-Notes,2,0,0.0
carloscorreia94/AEISTMobileDROID,2,0,0.0
MrGussio/EarthInvadersGDX,5,0,0.0
thermatk/HSEWifi,6,0,0.0
camilotejeiro/android_quotes_display_apps,1,0,0.0
PowerInside/syncplayer,5,0,0.0
dhis2/dhis2-android-trackercapture,24,0,0.0
Mygod/InvisibleWidgetPlus,4,0,0.0
intxcc/OwnTrack,2,0,0.0
rspective/PagerDatePicker,1,0,0.0
enricocid/Battery-Live,13,0,0.0
slipmatt/MediaFarmer,1,0,0.0
Raenar4k/Simple15,5,0,0.0
wminner/ndnMouse,3,0,0.0
derqurps/noefinderlein,9,0,0.0
cooler9711/Bee-Safe-Plants-App,1,0,0.0
bubblegumdevs/traceratops,2,0,0.0
Iktwo/QuteLauncher,7,0,0.0
pR0Ps/LocationShare,3,0,0.0
Zireck/CleanFit,1,0,0.0
Garthi/Running-Leaderboard,3,1,33.33
ordogfioka/ElteMeter,1,0,0.0
greenfrvr/rubber-loader,4,0,0.0
KonradIT/goprohero,20,2,10.0
M66B/XPrivacyInstaller,11,0,0.0
arpruss/raspberryjam-pe,2,0,0.0
kuastw/KUAS-Wifi-Auto-Login,20,0,0.0
subinkrishna/CircularImageView,6,0,0.0
7kfpun/BitcoinReactNative,3,0,0.0
bpear/Nexus-4-Modem-Flasher,1,0,0.0
ngageoint/anti-piracy-android-app,5,0,0.0
amatskevich/CalendarOfFactory,12,0,0.0
lenidh/holochron,2,0,0.0
ml1nk/csr-generator,16,0,0.0
jrodalo/copit,7,0,0.0
tomszilagyi/svhu1972,2,0,0.0
Manabu-GT/EtsyBlur,5,0,0.0
poldz123/ShapeRipple,5,0,0.0
alescdb/LauncherTV,6,0,0.0
yolosec/upcKeygen,5,0,0.0
Aaron1011/QuotesDream,3,0,0.0
JamesFrost/SimpleDo,3,0,0.0
MiguelCatalan/MaterialSearchView,2,0,0.0
varunest/SparkButton,7,0,0.0
juankysoriano/MaterialLife,1,0,0.0
jewelzqiu/sjtubbs,2,0,0.0
rockwotj/Cam2PDF,1,0,0.0
jadengore/PebbLIFX,2,0,0.0
Microsoft/ProjectOxford-ClientSDK,8,3,37.5
oxoooo/materialize,4,1,25.0
adrianchifor/Swiftnotes,5,0,0.0
kartikarora/Transfer.sh,2,1,50.0
tkowalczyk/DevTalkMobile,3,2,66.67
codemumbler/fitTimer,1,0,0.0
Need2Revolt/LEMP,1,0,0.0
SandroMachado/openalpr-android,5,1,20.0
Mariovc/ImagePicker,9,1,11.11
MMAUG/Kanaung,1,1,100.0
marcb1/droid-ssh,1,0,0.0
trrk/FlMML-for-Android,3,0,0.0
ericleib/blindtale,1,0,0.0
thht/ambilike,2,0,0.0
jgilfelt/SystemBarTint,3,0,0.0
SecUSo/privacy-friendly-torchlight,4,0,0.0
schlan/Clippy,2,0,0.0
WhitgiftCyberSoc/balances-android,2,0,0.0
macleod2486/UTNow,2,0,0.0
mtransitapps/ca-fort-erie-transit-bus-android,1,0,0.0
pjan284/TearTheWeb,1,0,0.0
kyze8439690/v2ex-daily-android,5,0,0.0
k0shk0sh/KAM,2,0,0.0
