repository,issue_id,title,state,created_at,closed_at,labels
mateuszbuda/ThermometerExtended2,15,saving data,closed,2014-02-04T12:42:44Z,2014-02-11T16:00:07Z,bug
mateuszbuda/ThermometerExtended2,12,MAX_TEXTURE_SIZE,open,2014-02-03T20:49:46Z,,bug
BitPrepared/prbm-mobile,1,L'applicazione crasha quando si inserisce un decimale con la virgola,closed,2015-09-06T15:26:26Z,2016-08-22T01:50:29Z,bug
kaozgamer/GradeCalculator,1,"Toolbar in ""About"" over-layed over PreferenceScreen",closed,2016-07-14T10:20:45Z,2016-07-14T13:00:22Z,bug
DamienOReilly/PrepayCredit,7,Login not working as of 22-08-2014,closed,2014-08-22T09:56:41Z,2014-08-22T09:58:16Z,bug
DamienOReilly/PrepayCredit,6,"Bug on ""My3 website"" menu item.",closed,2014-07-21T12:49:07Z,2014-07-21T12:51:07Z,bug
DamienOReilly/PrepayCredit,5,Application does not handle internet out-of-bundle charges (roaming),closed,2013-09-10T16:37:45Z,2014-07-17T11:45:50Z,bug
DamienOReilly/PrepayCredit,4,GUI defects,closed,2013-09-10T16:30:48Z,2013-09-11T15:10:39Z,bug
DamienOReilly/PrepayCredit,3,NullPointerException thrown if usage fetched after app closes,closed,2013-09-01T14:33:26Z,2013-09-01T22:37:37Z,bug
DamienOReilly/PrepayCredit,1,Small UI bugs,closed,2013-08-07T21:05:37Z,2013-08-08T09:11:58Z,"bug, enhancement"
lucas-tulio/decimal-clock-widget,5,Date settings reset after a while,closed,2015-02-02T15:43:41Z,2015-02-26T20:11:12Z,bug
